"Total seconds","Self seconds","File size","File path"
0.781250,0.015625,14843,"/usr/include/c++/6/experimental/any"
0.500000,0.015625,10587,"/usr/include/c++/6/utility"
0.375000,0.296875,76103,"/usr/include/c++/6/type_traits"
0.359375,0.328125,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
0.343750,0.031250,17594,"/usr/include/c++/6/bits/stl_pair.h"
0.265625,0.031250,6340,"/usr/include/c++/6/bits/move.h"
0.109375,0.000000,7685,"/usr/include/c++/6/typeinfo"
0.078125,0.000000,5665,"/usr/include/c++/6/exception"
0.046875,0.015625,5298,"/usr/include/c++/6/new"
0.046875,0.015625,2167,"/usr/include/c++/6/cstdint"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/6/bits/os_defines.h"
0.031250,0.000000,2974,"/usr/include/c++/6/initializer_list"
0.031250,0.000000,2076,"/usr/include/c++/6/experimental/bits/lfts_config.h"
0.031250,0.000000,2146,"/usr/include/c++/6/bits/hash_bytes.h"
0.031250,0.000000,3423,"/usr/include/c++/6/bits/concept_check.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint.h"
0.000000,0.000000,7029,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/6/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,4599,"/usr/include/c++/6/bits/stl_relops.h"
0.000000,0.000000,2253,"/usr/include/c++/6/bits/atomic_lockfree_defines.h"
