"Total seconds","Self seconds","File size","File path"
6.156250,0.015625,2233,"/usr/include/c++/6/experimental/filesystem"
3.390625,0.015625,8510,"/usr/include/c++/6/experimental/bits/fs_fwd.h"
2.906250,0.031250,10854,"/usr/include/c++/6/system_error"
2.468750,0.000000,7988,"/usr/include/c++/6/stdexcept"
2.453125,0.015625,1943,"/usr/include/c++/6/string"
2.390625,0.062500,30815,"/usr/include/c++/6/experimental/bits/fs_path.h"
1.343750,1.296875,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
1.218750,0.000000,1488,"/usr/include/c++/6/locale"
1.093750,1.015625,76103,"/usr/include/c++/6/type_traits"
0.937500,0.203125,50403,"/usr/include/c++/6/bits/stl_algobase.h"
0.906250,0.046875,17978,"/usr/include/c++/6/bits/char_traits.h"
0.781250,0.140625,208701,"/usr/include/c++/6/bits/basic_string.h"
0.546875,0.109375,92086,"/usr/include/c++/6/bits/locale_facets.h"
0.484375,0.062500,26758,"/usr/include/c++/6/chrono"
0.468750,0.046875,16063,"/usr/include/c++/6/bits/locale_conv.h"
0.406250,0.031250,24943,"/usr/include/c++/6/bits/unique_ptr.h"
0.359375,0.031250,17594,"/usr/include/c++/6/bits/stl_pair.h"
0.359375,0.015625,4581,"/usr/include/c++/6/bits/quoted_string.h"
0.343750,0.015625,26369,"/usr/include/c++/6/sstream"
0.343750,0.015625,10789,"/usr/include/c++/6/experimental/bits/fs_dir.h"
0.328125,0.031250,3368,"/usr/include/c++/6/ext/string_conversions.h"
0.312500,0.062500,6340,"/usr/include/c++/6/bits/move.h"
0.296875,0.015625,30941,"/usr/include/c++/6/istream"
0.281250,0.031250,20255,"/usr/include/c++/6/bits/shared_ptr.h"
0.281250,0.000000,2748,"/usr/include/c++/6/vector"
0.265625,0.234375,69375,"/usr/include/c++/6/limits"
0.265625,0.093750,56217,"/usr/include/c++/6/tuple"
0.250000,0.062500,45675,"/usr/include/c++/6/bits/shared_ptr_base.h"
0.250000,0.015625,6923,"/usr/include/c++/6/bits/allocator.h"
0.218750,0.046875,68941,"/usr/include/c++/6/bits/locale_facets_nonio.h"
0.218750,0.015625,6919,"/usr/include/c++/6/iosfwd"
0.218750,0.000000,3509,"/usr/include/c++/6/ext/atomicity.h"
0.218750,0.000000,6509,"/usr/include/c++/6/cwchar"
0.218750,0.000000,5646,"/usr/include/c++/6/bits/localefwd.h"
0.187500,0.015625,24237,"/usr/include/x86_64-linux-gnu/c++/6/bits/gthr-default.h"
0.187500,0.000000,5608,"/usr/include/x86_64-linux-gnu/c++/6/bits/gthr.h"
0.171875,0.140625,31999,"/usr/include/wchar.h"
0.171875,0.046875,41512,"/usr/include/pthread.h"
0.171875,0.046875,10587,"/usr/include/c++/6/utility"
0.171875,0.000000,1601,"/usr/include/c++/6/ios"
0.156250,0.125000,30944,"/usr/include/c++/6/bits/ios_base.h"
0.156250,0.000000,1849,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++allocator.h"
0.156250,0.000000,4436,"/usr/include/c++/6/ext/new_allocator.h"
0.156250,0.000000,2409,"/usr/include/c++/6/cctype"
0.140625,0.125000,12985,"/usr/include/features.h"
0.140625,0.109375,9594,"/usr/include/c++/6/bits/cpp_type_traits.h"
0.140625,0.078125,29558,"/usr/include/c++/6/streambuf"
0.140625,0.000000,4439,"/usr/include/c++/6/cstdio"
0.125000,0.046875,31639,"/usr/include/stdio.h"
0.125000,0.031250,21233,"/usr/include/c++/6/experimental/string_view"
0.125000,0.015625,8208,"/usr/include/c++/6/bits/postypes.h"
0.109375,0.078125,40335,"/usr/include/c++/6/bits/stl_iterator.h"
0.109375,0.015625,8657,"/usr/include/c++/6/bits/stl_iterator_base_types.h"
0.093750,0.078125,53655,"/usr/include/c++/6/bits/stl_vector.h"
0.093750,0.062500,13724,"/usr/include/time.h"
0.093750,0.062500,24897,"/usr/include/c++/6/bits/locale_classes.h"
0.093750,0.046875,33474,"/usr/include/c++/6/bits/stl_bvector.h"
0.093750,0.031250,11748,"/usr/include/ctype.h"
0.093750,0.031250,19142,"/usr/include/c++/6/ratio"
0.093750,0.015625,16075,"/usr/include/c++/6/bits/basic_ios.h"
0.093750,0.000000,5177,"/usr/include/x86_64-linux-gnu/c++/6/bits/error_constants.h"
0.093750,0.000000,3742,"/usr/include/c++/6/ext/aligned_buffer.h"
0.093750,0.000000,2793,"/usr/include/c++/6/cwctype"
0.093750,0.000000,1770,"/usr/include/c++/6/cerrno"
0.093750,0.000000,3501,"/usr/include/c++/6/bits/allocated_ptr.h"
0.078125,0.078125,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.078125,0.078125,45141,"/usr/include/c++/6/bits/locale_facets_nonio.tcc"
0.078125,0.078125,51796,"/usr/include/c++/6/bits/basic_string.tcc"
0.078125,0.046875,5341,"/usr/include/c++/6/codecvt"
0.078125,0.015625,7763,"/usr/include/c++/6/bits/parse_numbers.h"
0.078125,0.015625,10075,"/usr/include/c++/6/array"
0.078125,0.000000,2125,"/usr/include/c++/6/ctime"
0.078125,0.000000,3764,"/usr/include/c++/6/bits/uses_allocator.h"
0.062500,0.062500,39568,"/usr/include/c++/6/bits/locale_facets.tcc"
0.062500,0.062500,30933,"/usr/include/c++/6/bits/istream.tcc"
0.062500,0.062500,21297,"/usr/include/c++/6/bits/codecvt.h"
0.062500,0.031250,11130,"/usr/include/wctype.h"
0.062500,0.031250,20261,"/usr/include/c++/6/ostream"
0.062500,0.031250,7669,"/usr/include/c++/6/bits/functional_hash.h"
0.062500,0.015625,4629,"/usr/include/sched.h"
