"Total seconds","Self seconds","File size","File path"
4.671875,0.015625,11928,"/usr/include/c++/6/experimental/memory_resource"
4.484375,0.000000,4735,"/usr/include/c++/6/memory"
1.750000,0.125000,70496,"/usr/include/c++/6/functional"
1.531250,0.140625,56217,"/usr/include/c++/6/tuple"
1.203125,0.015625,10075,"/usr/include/c++/6/array"
1.156250,1.109375,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
1.140625,0.015625,7988,"/usr/include/c++/6/stdexcept"
1.125000,0.000000,1943,"/usr/include/c++/6/string"
1.046875,0.203125,50403,"/usr/include/c++/6/bits/stl_algobase.h"
1.000000,0.937500,76103,"/usr/include/c++/6/type_traits"
0.546875,0.156250,208701,"/usr/include/c++/6/bits/basic_string.h"
0.390625,0.031250,17594,"/usr/include/c++/6/bits/stl_pair.h"
0.359375,0.000000,3368,"/usr/include/c++/6/ext/string_conversions.h"
0.328125,0.031250,6923,"/usr/include/c++/6/bits/allocator.h"
0.296875,0.031250,20255,"/usr/include/c++/6/bits/shared_ptr.h"
0.281250,0.046875,6340,"/usr/include/c++/6/bits/move.h"
0.265625,0.093750,45675,"/usr/include/c++/6/bits/shared_ptr_base.h"
0.265625,0.000000,3509,"/usr/include/c++/6/ext/atomicity.h"
0.250000,0.015625,6509,"/usr/include/c++/6/cwchar"
0.234375,0.015625,24237,"/usr/include/x86_64-linux-gnu/c++/6/bits/gthr-default.h"
0.234375,0.000000,5608,"/usr/include/x86_64-linux-gnu/c++/6/bits/gthr.h"
0.218750,0.062500,24943,"/usr/include/c++/6/bits/unique_ptr.h"
0.218750,0.046875,41512,"/usr/include/pthread.h"
0.218750,0.031250,10587,"/usr/include/c++/6/utility"
0.203125,0.000000,6919,"/usr/include/c++/6/iosfwd"
0.187500,0.015625,4436,"/usr/include/c++/6/ext/new_allocator.h"
0.187500,0.015625,5646,"/usr/include/c++/6/bits/localefwd.h"
0.187500,0.000000,1849,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++allocator.h"
0.156250,0.109375,31999,"/usr/include/wchar.h"
0.156250,0.062500,31639,"/usr/include/stdio.h"
0.156250,0.000000,4439,"/usr/include/c++/6/cstdio"
0.140625,0.046875,8657,"/usr/include/c++/6/bits/stl_iterator_base_types.h"
0.140625,0.031250,17978,"/usr/include/c++/6/bits/char_traits.h"
0.140625,0.015625,8208,"/usr/include/c++/6/bits/postypes.h"
0.125000,0.125000,33276,"/usr/include/c++/6/bits/stl_function.h"
0.125000,0.093750,12985,"/usr/include/features.h"
0.109375,0.093750,40335,"/usr/include/c++/6/bits/stl_iterator.h"
0.109375,0.078125,9594,"/usr/include/c++/6/bits/cpp_type_traits.h"
0.093750,0.031250,3501,"/usr/include/c++/6/bits/allocated_ptr.h"
0.078125,0.078125,51796,"/usr/include/c++/6/bits/basic_string.tcc"
0.078125,0.062500,37891,"/usr/include/c++/6/atomic"
0.078125,0.046875,23970,"/usr/include/c++/6/bits/atomic_base.h"
0.078125,0.031250,3307,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++locale.h"
0.078125,0.015625,9769,"/usr/include/c++/6/bits/shared_ptr_atomic.h"
0.078125,0.000000,3742,"/usr/include/c++/6/ext/aligned_buffer.h"
0.078125,0.000000,3764,"/usr/include/c++/6/bits/uses_allocator.h"
0.062500,0.062500,13754,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stddef.h"
0.062500,0.046875,7563,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.062500,0.031250,13724,"/usr/include/time.h"
0.062500,0.031250,4629,"/usr/include/sched.h"
0.062500,0.031250,5658,"/usr/include/c++/6/ext/alloc_traits.h"
0.062500,0.015625,17248,"/usr/include/libio.h"
0.062500,0.000000,5298,"/usr/include/c++/6/new"
0.062500,0.000000,1770,"/usr/include/c++/6/cerrno"
0.062500,0.000000,2409,"/usr/include/c++/6/cctype"
0.046875,0.046875,19585,"/usr/include/c++/6/bits/alloc_traits.h"
0.046875,0.031250,2974,"/usr/include/c++/6/initializer_list"
0.046875,0.015625,2937,"/usr/include/endian.h"
