"Total seconds","Self seconds","File size","File path"
1.811623,0.004034,2518,"/usr/include/c++/7/algorithm"
0.891970,0.193573,213859,"/usr/include/c++/7/bits/stl_algo.h"
0.638538,0.608033,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.516879,0.016913,12447,"/usr/include/c++/7/utility"
0.468214,0.408682,92445,"/usr/include/c++/7/type_traits"
0.427000,0.067731,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.344159,0.047598,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.329409,0.008320,8344,"/usr/include/c++/7/bits/stl_tempbuf.h"
0.292829,0.005490,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.249948,0.034568,6653,"/usr/include/c++/7/bits/move.h"
0.231049,0.010049,7507,"/usr/include/c++/7/new"
0.207969,0.009672,10147,"/usr/include/c++/7/bits/uniform_int_dist.h"
0.195574,0.003084,4777,"/usr/include/c++/7/exception"
0.123085,0.096541,69181,"/usr/include/c++/7/limits"
0.115097,0.009389,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.105959,0.005982,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.064213,0.022148,21737,"/usr/include/c++/7/bits/algorithmfwd.h"
0.060268,0.035173,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.060004,0.006295,6325,"/usr/include/c++/7/cstdlib"
0.057095,0.004762,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.055326,0.029828,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.048873,0.016410,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.046317,0.014528,5914,"/usr/include/c++/7/ext/type_traits.h"
0.036398,0.001558,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.034209,0.002008,2167,"/usr/include/c++/7/cstdint"
0.033147,0.004098,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.033027,0.004779,7692,"/usr/include/c++/7/typeinfo"
0.030292,0.018319,20206,"/usr/include/c++/7/bits/stl_heap.h"
0.030173,0.001776,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.029133,0.002299,3254,"/usr/include/c++/7/bits/functexcept.h"
0.028773,0.002321,2974,"/usr/include/c++/7/initializer_list"
0.028468,0.002583,3290,"/usr/include/c++/7/bits/std_abs.h"
0.028397,0.013842,15541,"/usr/include/features.h"
0.028359,0.003934,3423,"/usr/include/c++/7/bits/concept_check.h"
0.028266,0.002032,2280,"/usr/include/c++/7/bits/exception.h"
0.027441,0.000964,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.027315,0.001157,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.023675,0.023675,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.022590,0.011181,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.013364,0.012804,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.012929,0.009152,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.009069,0.009069,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.007699,0.000411,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.007288,0.007288,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.007270,0.004914,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.005705,0.004835,5221,"/usr/include/c++/7/debug/debug.h"
0.002265,0.002265,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.002056,0.002056,2411,"/usr/include/c++/7/debug/assertions.h"
0.001417,0.001417,1645,"/usr/include/c++/7/bits/exception_defines.h"
0.000785,0.000785,2363,"/usr/include/stdc-predef.h"
0.000430,0.000430,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000406,0.000406,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000332,0.000332,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000130,0.000130,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
