"Total seconds","Self seconds","File size","File path"
2.895443,0.052424,45887,"/usr/include/c++/7/bitset"
2.832468,0.002800,1940,"/usr/include/c++/7/string"
0.983451,0.956304,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.932558,0.039606,20745,"/usr/include/c++/7/bits/char_traits.h"
0.905880,0.177174,240793,"/usr/include/c++/7/bits/basic_string.h"
0.763028,0.072169,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.492939,0.426460,92445,"/usr/include/c++/7/type_traits"
0.436854,0.008907,6888,"/usr/include/c++/7/bits/allocator.h"
0.350720,0.000802,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.349918,0.005192,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.343964,0.022112,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.300060,0.004645,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.260264,0.031096,6653,"/usr/include/c++/7/bits/move.h"
0.239613,0.010431,7507,"/usr/include/c++/7/new"
0.220549,0.005392,5646,"/usr/include/c++/7/bits/localefwd.h"
0.206169,0.025096,21299,"/usr/include/c++/7/string_view"
0.204152,0.017854,6509,"/usr/include/c++/7/cwchar"
0.202851,0.003065,4777,"/usr/include/c++/7/exception"
0.184174,0.002740,3509,"/usr/include/c++/7/ext/atomicity.h"
0.154350,0.001482,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.152868,0.020173,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.135977,0.109978,69181,"/usr/include/c++/7/limits"
0.132695,0.030041,41269,"/usr/include/pthread.h"
0.115478,0.009236,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.111807,0.007874,8208,"/usr/include/c++/7/bits/postypes.h"
0.111078,0.005980,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.108389,0.062948,31111,"/usr/include/wchar.h"
0.107732,0.092173,15541,"/usr/include/features.h"
0.106449,0.004723,4439,"/usr/include/c++/7/cstdio"
0.099930,0.001860,2409,"/usr/include/c++/7/cctype"
0.082096,0.059690,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.075108,0.022114,29665,"/usr/include/stdio.h"
0.070610,0.015539,10963,"/usr/include/ctype.h"
0.065985,0.065343,53755,"/usr/include/c++/7/bits/basic_string.tcc"
