"Total seconds","Self seconds","File size","File path"
0.076348,0.001052,1648,"/usr/include/c++/7/cassert"
0.065766,0.039282,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.031291,0.016251,15541,"/usr/include/features.h"
0.026126,0.001082,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.013792,0.013143,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.009530,0.003283,4642,"/usr/include/assert.h"
0.000817,0.000817,2363,"/usr/include/stdc-predef.h"
0.000457,0.000457,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000431,0.000431,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000358,0.000358,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000192,0.000192,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
