"Total seconds","Self seconds","File size","File path"
0.144083,0.002030,2409,"/usr/include/c++/7/cctype"
0.074394,0.015811,10963,"/usr/include/ctype.h"
0.067659,0.039990,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.052206,0.037131,15541,"/usr/include/features.h"
0.034963,0.003275,3189,"/usr/include/endian.h"
0.027316,0.001145,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.022899,0.013834,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.020496,0.008496,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.013731,0.013033,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.004695,0.001033,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.002289,0.002289,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001463,0.001463,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.001254,0.000498,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.001170,0.001170,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.000905,0.000905,2363,"/usr/include/stdc-predef.h"
0.000756,0.000756,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000439,0.000439,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000353,0.000353,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000243,0.000243,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000189,0.000189,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
