"Total seconds","Self seconds","File size","File path"
0.074670,0.001117,1889,"/usr/include/c++/7/cfloat"
0.066293,0.039162,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.026784,0.001120,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.025664,0.010155,15541,"/usr/include/features.h"
0.014179,0.013470,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007260,0.007260,16917,"/usr/lib/gcc/x86_64-linux-gnu/7/include/float.h"
0.000886,0.000886,2363,"/usr/include/stdc-predef.h"
0.000467,0.000467,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000444,0.000444,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000347,0.000347,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000242,0.000242,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
