"Total seconds","Self seconds","File size","File path"
0.079630,0.001982,1464,"/usr/include/c++/7/ciso646"
0.077648,0.048977,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.028325,0.001283,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.027042,0.011577,15541,"/usr/include/features.h"
0.014158,0.013451,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000884,0.000884,2363,"/usr/include/stdc-predef.h"
0.000453,0.000453,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000423,0.000423,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000346,0.000346,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000254,0.000254,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
