"Total seconds","Self seconds","File size","File path"
0.085347,0.000964,1913,"/usr/include/c++/7/climits"
0.064507,0.038200,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.031373,0.016323,15541,"/usr/include/features.h"
0.025957,0.001055,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.019876,0.004146,5412,"/usr/include/limits.h"
0.013779,0.013084,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007899,0.001428,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.005857,0.003143,4922,"/usr/include/x86_64-linux-gnu/bits/posix1_lim.h"
0.002714,0.001935,3184,"/usr/include/x86_64-linux-gnu/bits/local_lim.h"
0.001511,0.001511,2866,"/usr/include/x86_64-linux-gnu/bits/posix2_lim.h"
0.000908,0.000908,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000838,0.000838,2363,"/usr/include/stdc-predef.h"
0.000779,0.000779,937,"/usr/include/linux/limits.h"
0.000433,0.000433,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000350,0.000350,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000250,0.000250,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
