"Total seconds","Self seconds","File size","File path"
0.085357,0.007587,6440,"/usr/include/c++/7/cstddef"
0.067753,0.039723,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.027666,0.001116,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.026550,0.010580,15541,"/usr/include/features.h"
0.014610,0.013895,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.010017,0.010017,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.000909,0.000909,2363,"/usr/include/stdc-predef.h"
0.000472,0.000472,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000451,0.000451,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000364,0.000364,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000243,0.000243,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
