"Total seconds","Self seconds","File size","File path"
0.125105,0.002862,3123,"/usr/include/c++/7/cstring"
0.066716,0.039341,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.055527,0.016214,17545,"/usr/include/string.h"
0.039495,0.023668,15541,"/usr/include/features.h"
0.027015,0.001069,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.020941,0.005102,4752,"/usr/include/strings.h"
0.017585,0.017585,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.014415,0.013685,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.008148,0.001459,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.001618,0.000862,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000967,0.000967,2363,"/usr/include/stdc-predef.h"
0.000756,0.000756,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000485,0.000485,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000445,0.000445,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000360,0.000360,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000245,0.000245,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
