"Total seconds","Self seconds","File size","File path"
0.160067,0.007963,6509,"/usr/include/c++/7/cwchar"
0.079192,0.027221,31111,"/usr/include/wchar.h"
0.072912,0.043021,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.049963,0.033105,15541,"/usr/include/features.h"
0.029499,0.001177,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.027411,0.002928,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.017438,0.010256,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015423,0.014685,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.009577,0.009577,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.009168,0.001526,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.002006,0.002006,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.001186,0.000437,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000942,0.000942,2363,"/usr/include/stdc-predef.h"
0.000872,0.000349,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000766,0.000766,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000749,0.000749,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000523,0.000523,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000515,0.000515,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000514,0.000514,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000493,0.000493,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000451,0.000451,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000392,0.000392,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000250,0.000250,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000221,0.000221,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
