"Total seconds","Self seconds","File size","File path"
5.368686,0.077927,39570,"/usr/include/c++/7/functional"
2.946790,0.136458,59617,"/usr/include/c++/7/tuple"
2.352851,0.022490,11385,"/usr/include/c++/7/array"
2.287972,0.012162,7975,"/usr/include/c++/7/stdexcept"
2.275810,0.003039,1940,"/usr/include/c++/7/string"
1.236774,1.171905,92445,"/usr/include/c++/7/type_traits"
1.153148,1.126319,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.932320,0.170080,240793,"/usr/include/c++/7/bits/basic_string.h"
0.722303,0.002952,1857,"/usr/include/c++/7/unordered_map"
0.642393,0.042402,20745,"/usr/include/c++/7/bits/char_traits.h"
0.580513,0.193283,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.546948,0.195028,213859,"/usr/include/c++/7/bits/stl_algo.h"
0.391045,0.088810,73276,"/usr/include/c++/7/bits/hashtable.h"
0.384927,0.141689,33276,"/usr/include/c++/7/bits/stl_function.h"
0.335111,0.002011,2747,"/usr/include/c++/7/vector"
0.333905,0.067000,12447,"/usr/include/c++/7/utility"
0.318100,0.004695,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.285875,0.052320,6653,"/usr/include/c++/7/bits/move.h"
0.243398,0.010660,7507,"/usr/include/c++/7/new"
0.229344,0.008856,5646,"/usr/include/c++/7/bits/localefwd.h"
0.221115,0.015892,6888,"/usr/include/c++/7/bits/allocator.h"
0.215731,0.019040,6509,"/usr/include/c++/7/cwchar"
0.208113,0.027302,21299,"/usr/include/c++/7/string_view"
0.205881,0.003123,4777,"/usr/include/c++/7/exception"
0.195458,0.002874,3509,"/usr/include/c++/7/ext/atomicity.h"
0.191072,0.159062,69181,"/usr/include/c++/7/limits"
0.184899,0.008923,8165,"/usr/include/c++/7/bits/node_handle.h"
0.163102,0.001650,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.161452,0.021345,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.160965,0.048425,31123,"/usr/include/c++/7/optional"
0.151569,0.059392,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.150406,0.011701,10147,"/usr/include/c++/7/bits/uniform_int_dist.h"
0.140107,0.031292,41269,"/usr/include/pthread.h"
0.124833,0.014197,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
