"Total seconds","Self seconds","File size","File path"
0.242654,0.004768,6918,"/usr/include/c++/7/iosfwd"
0.149077,0.122614,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.113893,0.004529,8208,"/usr/include/c++/7/bits/postypes.h"
0.109364,0.007490,6509,"/usr/include/c++/7/cwchar"
0.073510,0.025773,31111,"/usr/include/wchar.h"
0.058860,0.002075,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.044225,0.028898,15541,"/usr/include/features.h"
0.029164,0.001205,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.026111,0.001093,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.025279,0.002777,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.016167,0.009665,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.014060,0.013339,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.008878,0.008878,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.008093,0.001507,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.001888,0.001888,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.001146,0.000412,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000821,0.000821,2363,"/usr/include/stdc-predef.h"
0.000776,0.000289,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000752,0.000752,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000734,0.000734,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000487,0.000487,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000486,0.000486,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000477,0.000477,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000460,0.000460,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000446,0.000446,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000352,0.000352,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000234,0.000234,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000205,0.000205,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
