"Total seconds","Self seconds","File size","File path"
4.461079,0.001417,1488,"/usr/include/c++/7/locale"
2.595135,0.034456,24897,"/usr/include/c++/7/bits/locale_classes.h"
2.545734,0.003702,1940,"/usr/include/c++/7/string"
1.271852,1.244198,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.950890,0.186208,240793,"/usr/include/c++/7/bits/basic_string.h"
0.871821,0.043614,20745,"/usr/include/c++/7/bits/char_traits.h"
0.856820,0.790571,92445,"/usr/include/c++/7/type_traits"
0.829892,0.103393,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.710853,0.019057,16077,"/usr/include/c++/7/bits/locale_conv.h"
0.659690,0.035665,25794,"/usr/include/c++/7/bits/unique_ptr.h"
0.545739,0.064702,92142,"/usr/include/c++/7/bits/locale_facets.h"
0.465454,0.011548,6888,"/usr/include/c++/7/bits/allocator.h"
0.449445,0.020499,5646,"/usr/include/c++/7/bits/localefwd.h"
0.374436,0.000875,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.373561,0.005677,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.370529,0.036764,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.335908,0.082884,59617,"/usr/include/c++/7/tuple"
0.312176,0.005213,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.286904,0.040961,6653,"/usr/include/c++/7/bits/move.h"
0.251066,0.011036,7507,"/usr/include/c++/7/new"
0.223551,0.024158,6918,"/usr/include/c++/7/iosfwd"
0.217362,0.025829,21299,"/usr/include/c++/7/string_view"
0.212446,0.003243,4777,"/usr/include/c++/7/exception"
0.211691,0.018578,6509,"/usr/include/c++/7/cwchar"
0.197732,0.007040,3509,"/usr/include/c++/7/ext/atomicity.h"
0.196632,0.046761,30944,"/usr/include/c++/7/bits/ios_base.h"
0.187287,0.044678,68941,"/usr/include/c++/7/bits/locale_facets_nonio.h"
0.168946,0.032808,12447,"/usr/include/c++/7/utility"
0.162852,0.001559,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.161293,0.021332,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.143292,0.115523,69181,"/usr/include/c++/7/limits"
0.142488,0.003397,2409,"/usr/include/c++/7/cctype"
0.139961,0.031044,41269,"/usr/include/pthread.h"
0.130216,0.020051,11522,"/usr/include/c++/7/system_error"
0.126134,0.009765,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.123229,0.107209,15541,"/usr/include/features.h"
0.117070,0.008350,8208,"/usr/include/c++/7/bits/postypes.h"
0.116475,0.043377,29558,"/usr/include/c++/7/streambuf"
0.114045,0.006336,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.112450,0.005031,4439,"/usr/include/c++/7/cstdio"
0.111125,0.063888,31111,"/usr/include/wchar.h"
0.090720,0.007657,6383,"/usr/include/c++/7/bits/uses_allocator.h"
0.089210,0.003753,3657,"/usr/include/c++/7/bits/invoke.h"
0.085419,0.061709,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.081809,0.026132,10963,"/usr/include/ctype.h"
0.080732,0.053224,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.080381,0.023916,29665,"/usr/include/stdio.h"
0.078633,0.001897,1770,"/usr/include/c++/7/cerrno"
0.076867,0.076131,53755,"/usr/include/c++/7/bits/basic_string.tcc"
0.072522,0.064972,33276,"/usr/include/c++/7/bits/stl_function.h"
0.071714,0.071714,45522,"/usr/include/c++/7/bits/locale_facets_nonio.tcc"
0.069950,0.060909,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.068830,0.002494,2793,"/usr/include/c++/7/cwctype"
0.064276,0.004787,5175,"/usr/include/x86_64-linux-gnu/c++/7/bits/error_constants.h"
0.063664,0.013381,11385,"/usr/include/c++/7/array"
0.062713,0.006393,6325,"/usr/include/c++/7/cstdlib"
0.061535,0.004881,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.059868,0.059868,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.058986,0.024392,5914,"/usr/include/c++/7/ext/type_traits.h"
0.056436,0.014206,10360,"/usr/include/time.h"
0.054521,0.054521,39568,"/usr/include/c++/7/bits/locale_facets.tcc"
0.053935,0.003040,3307,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++locale.h"
0.053685,0.020932,9988,"/usr/include/c++/7/bits/range_access.h"
0.050895,0.001022,1905,"/usr/include/c++/7/clocale"
0.039660,0.003548,2167,"/usr/include/c++/7/cstdint"
0.039375,0.003974,4732,"/usr/include/sched.h"
0.039138,0.001733,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.036671,0.006974,3189,"/usr/include/endian.h"
0.036577,0.003846,5548,"/usr/include/wctype.h"
0.036509,0.005635,3254,"/usr/include/c++/7/bits/functexcept.h"
0.036196,0.004411,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.035578,0.005297,7692,"/usr/include/c++/7/typeinfo"
0.035568,0.001506,2125,"/usr/include/c++/7/ctime"
0.032753,0.005193,2974,"/usr/include/c++/7/initializer_list"
0.032668,0.005308,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.032659,0.032659,21297,"/usr/include/c++/7/bits/codecvt.h"
0.031866,0.016232,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031643,0.004205,3423,"/usr/include/c++/7/bits/concept_check.h"
0.030729,0.002889,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.030347,0.029635,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.030081,0.001797,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.030034,0.002260,2280,"/usr/include/c++/7/bits/exception.h"
0.029740,0.018001,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.029496,0.002637,3290,"/usr/include/c++/7/bits/std_abs.h"
0.027475,0.013180,12624,"/usr/include/c++/7/bits/streambuf_iterator.h"
0.027238,0.001192,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.025419,0.002725,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.023546,0.017261,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.022422,0.005192,7674,"/usr/include/locale.h"
0.021580,0.015444,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.018504,0.006850,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.018370,0.002131,1832,"/usr/include/errno.h"
0.016328,0.009792,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015427,0.002820,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014657,0.013922,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.014067,0.004350,4516,"/usr/include/x86_64-linux-gnu/c++/7/bits/messages_members.h"
0.013849,0.001797,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.012755,0.011926,7975,"/usr/include/c++/7/stdexcept"
0.011313,0.011313,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.011125,0.007261,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.011060,0.008595,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.010041,0.010041,8375,"/usr/include/c++/7/bits/locale_classes.tcc"
0.009717,0.003408,4579,"/usr/include/libintl.h"
0.009121,0.000975,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.008899,0.002395,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008199,0.000454,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.008198,0.007263,5221,"/usr/include/c++/7/debug/debug.h"
0.008146,0.000156,23,"/usr/include/linux/errno.h"
0.008133,0.003809,4002,"/usr/include/c++/7/bits/ostream_insert.h"
0.007990,0.000173,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.007817,0.005840,5648,"/usr/include/asm-generic/errno.h"
0.007807,0.007807,6632,"/usr/include/c++/7/bits/string_view.tcc"
0.007745,0.007745,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.007705,0.007705,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.006686,0.006686,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006504,0.003285,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
