"Total seconds","Self seconds","File size","File path"
3.723643,0.014906,21977,"/usr/include/c++/7/ostream"
3.691071,0.001379,1601,"/usr/include/c++/7/ios"
1.713396,0.062099,30944,"/usr/include/c++/7/bits/ios_base.h"
1.329893,0.033128,24897,"/usr/include/c++/7/bits/locale_classes.h"
1.282599,0.003855,1940,"/usr/include/c++/7/string"
1.215875,1.188886,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.752087,0.167550,240793,"/usr/include/c++/7/bits/basic_string.h"
0.665604,0.060728,20745,"/usr/include/c++/7/bits/char_traits.h"
0.578957,0.075476,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.542230,0.475190,92445,"/usr/include/c++/7/type_traits"
0.496429,0.005244,4777,"/usr/include/c++/7/exception"
0.361845,0.010122,16074,"/usr/include/c++/7/bits/basic_ios.h"
0.322921,0.004702,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.315371,0.058593,92142,"/usr/include/c++/7/bits/locale_facets.h"
0.288190,0.004895,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.287727,0.039525,6653,"/usr/include/c++/7/bits/move.h"
0.267605,0.026411,6918,"/usr/include/c++/7/iosfwd"
0.230709,0.007756,6888,"/usr/include/c++/7/bits/allocator.h"
0.220819,0.018785,6509,"/usr/include/c++/7/cwchar"
0.213709,0.027634,5646,"/usr/include/c++/7/bits/localefwd.h"
0.213686,0.026875,21299,"/usr/include/c++/7/string_view"
0.212848,0.007066,3509,"/usr/include/c++/7/ext/atomicity.h"
0.177768,0.001540,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.176228,0.027192,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.149036,0.036083,41269,"/usr/include/pthread.h"
0.143759,0.005994,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.142735,0.003341,2409,"/usr/include/c++/7/cctype"
0.134204,0.105844,69181,"/usr/include/c++/7/limits"
0.131568,0.000905,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.130663,0.005579,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.122121,0.013787,11522,"/usr/include/c++/7/system_error"
0.122035,0.009817,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.119045,0.008044,8208,"/usr/include/c++/7/bits/postypes.h"
0.117777,0.069803,31111,"/usr/include/wchar.h"
0.116951,0.022962,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.115539,0.100108,15541,"/usr/include/features.h"
0.115325,0.004978,4439,"/usr/include/c++/7/cstdio"
0.111760,0.042596,29558,"/usr/include/c++/7/streambuf"
0.092491,0.068135,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.086159,0.056062,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.082216,0.024147,29665,"/usr/include/stdio.h"
0.079494,0.024013,10963,"/usr/include/ctype.h"
0.073747,0.001814,1770,"/usr/include/c++/7/cerrno"
0.071636,0.062616,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.069730,0.069730,39568,"/usr/include/c++/7/bits/locale_facets.tcc"
0.066281,0.006803,6325,"/usr/include/c++/7/cstdlib"
0.065541,0.064842,53755,"/usr/include/c++/7/bits/basic_string.tcc"
0.065122,0.004563,5175,"/usr/include/x86_64-linux-gnu/c++/7/bits/error_constants.h"
0.064945,0.002429,2793,"/usr/include/c++/7/cwctype"
0.063213,0.025236,5914,"/usr/include/c++/7/ext/type_traits.h"
0.061264,0.061264,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.060958,0.003607,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.053817,0.009202,10360,"/usr/include/time.h"
0.053703,0.003002,3307,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++locale.h"
0.050701,0.001037,1905,"/usr/include/c++/7/clocale"
0.049355,0.041480,33276,"/usr/include/c++/7/bits/stl_function.h"
0.046401,0.014763,9988,"/usr/include/c++/7/bits/range_access.h"
0.040062,0.003462,2167,"/usr/include/c++/7/cstdint"
0.039421,0.003980,4732,"/usr/include/sched.h"
0.038753,0.005344,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.038614,0.001644,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.038068,0.023563,12624,"/usr/include/c++/7/bits/streambuf_iterator.h"
0.037939,0.006238,3254,"/usr/include/c++/7/bits/functexcept.h"
0.036331,0.006809,3189,"/usr/include/endian.h"
0.036232,0.006289,7507,"/usr/include/c++/7/new"
0.035111,0.003760,5548,"/usr/include/wctype.h"
0.034734,0.005008,7692,"/usr/include/c++/7/typeinfo"
0.033119,0.016509,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031638,0.002640,2974,"/usr/include/c++/7/initializer_list"
0.031613,0.004174,3423,"/usr/include/c++/7/bits/concept_check.h"
0.031113,0.002834,3290,"/usr/include/c++/7/bits/std_abs.h"
0.031019,0.002897,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.030940,0.018399,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.030222,0.002229,2280,"/usr/include/c++/7/bits/exception.h"
0.029572,0.001763,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.029481,0.022854,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.026621,0.001096,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.025374,0.002712,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.023317,0.022565,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.021596,0.005279,7674,"/usr/include/locale.h"
0.020377,0.014689,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.018326,0.006809,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.016752,0.002097,1832,"/usr/include/errno.h"
0.016375,0.009877,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.016063,0.002927,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.015195,0.014534,12315,"/usr/include/c++/7/bits/ostream.tcc"
0.014662,0.001901,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.014108,0.013411,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.012216,0.012216,6632,"/usr/include/c++/7/bits/string_view.tcc"
0.011557,0.006769,4002,"/usr/include/c++/7/bits/ostream_insert.h"
0.011517,0.011517,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.011416,0.007485,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.011328,0.008927,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.009304,0.002582,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.009044,0.009044,8375,"/usr/include/c++/7/bits/locale_classes.tcc"
0.008376,0.007415,5221,"/usr/include/c++/7/debug/debug.h"
0.008136,0.000441,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.008087,0.000938,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007745,0.006947,7975,"/usr/include/c++/7/stdexcept"
0.007695,0.007695,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.007149,0.000152,23,"/usr/include/linux/errno.h"
0.006997,0.000160,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006837,0.005109,5648,"/usr/include/asm-generic/errno.h"
0.006825,0.006825,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006785,0.006785,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.006722,0.003400,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.006648,0.002530,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.005030,0.005030,6083,"/usr/include/c++/7/bits/basic_ios.tcc"
0.004910,0.001319,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004883,0.004883,4929,"/usr/include/c++/7/bits/streambuf.tcc"
0.004753,0.000927,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004636,0.001017,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.004529,0.000547,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.004289,0.000408,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.004194,0.000553,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.004151,0.000339,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
