"Total seconds","Self seconds","File size","File path"
2.174783,0.001886,2467,"/usr/include/c++/7/queue"
1.742905,0.001990,2665,"/usr/include/c++/7/deque"
0.810941,0.073868,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.750083,0.684472,92445,"/usr/include/c++/7/type_traits"
0.598599,0.571628,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.494705,0.011131,6888,"/usr/include/c++/7/bits/allocator.h"
0.376947,0.000856,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.376091,0.005693,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.358886,0.036983,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.305044,0.047050,27600,"/usr/include/c++/7/bits/stl_uninitialized.h"
0.283025,0.047590,6653,"/usr/include/c++/7/bits/move.h"
0.253574,0.011061,7507,"/usr/include/c++/7/new"
0.237001,0.002032,2747,"/usr/include/c++/7/vector"
0.214226,0.003220,4777,"/usr/include/c++/7/exception"
0.180219,0.013496,12447,"/usr/include/c++/7/utility"
0.116858,0.006330,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.116172,0.009142,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.114755,0.019506,22125,"/usr/include/c++/7/bits/stl_queue.h"
0.092030,0.007577,6383,"/usr/include/c++/7/bits/uses_allocator.h"
0.087172,0.045781,33821,"/usr/include/c++/7/bits/stl_bvector.h"
0.085277,0.076295,77771,"/usr/include/c++/7/bits/stl_deque.h"
0.076458,0.069533,55637,"/usr/include/c++/7/bits/stl_vector.h"
0.059032,0.036267,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.057600,0.030426,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.049242,0.014906,5914,"/usr/include/c++/7/ext/type_traits.h"
0.047737,0.038330,33276,"/usr/include/c++/7/bits/stl_function.h"
0.046688,0.046688,34058,"/usr/include/c++/7/bits/deque.tcc"
0.044692,0.009279,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.040095,0.001715,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.038285,0.002149,2167,"/usr/include/c++/7/cstdint"
0.038061,0.038061,27598,"/usr/include/c++/7/bits/vector.tcc"
0.036532,0.005190,7692,"/usr/include/c++/7/typeinfo"
0.036408,0.004472,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.035095,0.007384,3423,"/usr/include/c++/7/bits/concept_check.h"
0.034071,0.005513,3254,"/usr/include/c++/7/bits/functexcept.h"
0.031817,0.005020,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.031336,0.002527,2974,"/usr/include/c++/7/initializer_list"
0.031134,0.001782,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.030499,0.017167,20206,"/usr/include/c++/7/bits/stl_heap.h"
0.030434,0.002273,2280,"/usr/include/c++/7/bits/exception.h"
0.030090,0.001977,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.026600,0.001083,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.025517,0.010046,15541,"/usr/include/features.h"
0.023183,0.017056,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.020746,0.009560,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.018631,0.018631,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.015201,0.015201,9988,"/usr/include/c++/7/bits/range_access.h"
0.014147,0.013423,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013885,0.011624,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.013036,0.012316,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.010644,0.007004,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.010007,0.010007,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.008076,0.000440,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.007997,0.007105,5221,"/usr/include/c++/7/debug/debug.h"
0.007636,0.007636,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.005669,0.005669,7167,"/usr/include/c++/7/backward/binders.h"
0.003827,0.003827,2411,"/usr/include/c++/7/debug/assertions.h"
0.002116,0.002116,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.001374,0.001374,1645,"/usr/include/c++/7/bits/exception_defines.h"
0.000881,0.000881,2363,"/usr/include/stdc-predef.h"
0.000480,0.000480,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000443,0.000443,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000371,0.000371,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000244,0.000244,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
