"Total seconds","Self seconds","File size","File path"
3.831727,0.027526,26839,"/usr/include/c++/7/sstream"
3.781811,0.018590,32843,"/usr/include/c++/7/istream"
3.681644,0.001852,1601,"/usr/include/c++/7/ios"
1.671745,0.062563,30944,"/usr/include/c++/7/bits/ios_base.h"
1.302241,0.038035,24897,"/usr/include/c++/7/bits/locale_classes.h"
1.250255,0.003739,1940,"/usr/include/c++/7/string"
1.233202,1.205665,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.736968,0.167611,240793,"/usr/include/c++/7/bits/basic_string.h"
0.644141,0.058067,20745,"/usr/include/c++/7/bits/char_traits.h"
0.558106,0.072540,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.529478,0.459477,92445,"/usr/include/c++/7/type_traits"
0.516270,0.005586,4777,"/usr/include/c++/7/exception"
0.358710,0.010357,16074,"/usr/include/c++/7/bits/basic_ios.h"
0.319593,0.004670,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.312266,0.058468,92142,"/usr/include/c++/7/bits/locale_facets.h"
0.301109,0.026498,6918,"/usr/include/c++/7/iosfwd"
0.290636,0.004397,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.288049,0.038568,6653,"/usr/include/c++/7/bits/move.h"
0.245748,0.019689,6509,"/usr/include/c++/7/cwchar"
0.225810,0.007659,6888,"/usr/include/c++/7/bits/allocator.h"
0.213539,0.024206,5646,"/usr/include/c++/7/bits/localefwd.h"
0.207351,0.031546,21299,"/usr/include/c++/7/string_view"
0.199244,0.006848,3509,"/usr/include/c++/7/ext/atomicity.h"
0.164071,0.001751,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.162320,0.021434,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.157292,0.006363,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.150717,0.009228,8208,"/usr/include/c++/7/bits/postypes.h"
0.141461,0.003366,2409,"/usr/include/c++/7/cctype"
0.140886,0.031354,41269,"/usr/include/pthread.h"
0.134015,0.000902,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.133113,0.006005,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.131834,0.076163,31111,"/usr/include/wchar.h"
0.127327,0.100491,69181,"/usr/include/c++/7/limits"
0.121665,0.009552,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.121242,0.014330,11522,"/usr/include/c++/7/system_error"
0.120002,0.104331,15541,"/usr/include/features.h"
0.114168,0.004926,4439,"/usr/include/c++/7/cstdio"
0.112269,0.042671,29558,"/usr/include/c++/7/streambuf"
0.107585,0.022828,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.093497,0.069300,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.085667,0.057242,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.082215,0.024386,29665,"/usr/include/stdio.h"
0.081038,0.024682,10963,"/usr/include/ctype.h"
0.075269,0.001829,1770,"/usr/include/c++/7/cerrno"
0.071063,0.061895,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.070901,0.002480,2793,"/usr/include/c++/7/cwctype"
0.069104,0.006756,6325,"/usr/include/c++/7/cstdlib"
0.066610,0.065907,53755,"/usr/include/c++/7/bits/basic_string.tcc"
0.063770,0.063770,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.063552,0.063552,39568,"/usr/include/c++/7/bits/locale_facets.tcc"
0.063010,0.004671,5175,"/usr/include/x86_64-linux-gnu/c++/7/bits/error_constants.h"
0.061359,0.003472,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.059864,0.024485,5914,"/usr/include/c++/7/ext/type_traits.h"
0.053546,0.003017,3307,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++locale.h"
0.051020,0.008464,10360,"/usr/include/time.h"
0.050529,0.001053,1905,"/usr/include/c++/7/clocale"
0.047668,0.040097,33276,"/usr/include/c++/7/bits/stl_function.h"
0.047121,0.014263,9988,"/usr/include/c++/7/bits/range_access.h"
0.046696,0.046042,31093,"/usr/include/c++/7/bits/istream.tcc"
0.045848,0.026611,21977,"/usr/include/c++/7/ostream"
0.042472,0.001755,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.041165,0.003541,2167,"/usr/include/c++/7/cstdint"
0.039489,0.004050,4732,"/usr/include/sched.h"
0.038711,0.006808,7507,"/usr/include/c++/7/new"
0.037895,0.005330,7692,"/usr/include/c++/7/typeinfo"
0.037812,0.023193,12624,"/usr/include/c++/7/bits/streambuf_iterator.h"
0.036908,0.006817,3189,"/usr/include/endian.h"
0.035518,0.005817,3254,"/usr/include/c++/7/bits/functexcept.h"
0.035409,0.004200,5548,"/usr/include/wctype.h"
0.034378,0.002792,3290,"/usr/include/c++/7/bits/std_abs.h"
0.034161,0.004650,3423,"/usr/include/c++/7/bits/concept_check.h"
0.033312,0.005070,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.033028,0.016649,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.032858,0.002489,2974,"/usr/include/c++/7/initializer_list"
0.032802,0.002373,2280,"/usr/include/c++/7/bits/exception.h"
0.032357,0.001814,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.031787,0.017614,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.031002,0.002963,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.028743,0.003056,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.027160,0.001129,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.024495,0.018182,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.024104,0.023361,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.022014,0.005467,7674,"/usr/include/locale.h"
0.020294,0.014665,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.018799,0.011163,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.018797,0.006822,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.018209,0.003139,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.017171,0.002156,1832,"/usr/include/errno.h"
0.016081,0.015389,12315,"/usr/include/c++/7/bits/ostream.tcc"
0.014478,0.001889,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.014336,0.013610,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.011979,0.011979,10115,"/usr/include/c++/7/bits/sstream.tcc"
0.011745,0.007438,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.011380,0.011380,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.011145,0.008753,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.010904,0.006544,4002,"/usr/include/c++/7/bits/ostream_insert.h"
0.009123,0.009123,8375,"/usr/include/c++/7/bits/locale_classes.tcc"
0.008855,0.002407,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008594,0.000887,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.008353,0.000444,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.008244,0.007305,5221,"/usr/include/c++/7/debug/debug.h"
0.008131,0.008131,6632,"/usr/include/c++/7/bits/string_view.tcc"
0.007930,0.007110,7975,"/usr/include/c++/7/stdexcept"
0.007909,0.007909,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.007707,0.000147,23,"/usr/include/linux/errno.h"
0.007560,0.000161,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.007399,0.005641,5648,"/usr/include/asm-generic/errno.h"
0.006869,0.006869,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.006747,0.006747,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006448,0.003275,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.005593,0.001834,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.005314,0.005314,6083,"/usr/include/c++/7/bits/basic_ios.tcc"
0.004984,0.004984,4929,"/usr/include/c++/7/bits/streambuf.tcc"
0.004953,0.001295,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004826,0.000905,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004626,0.000960,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.004410,0.000531,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.004225,0.000532,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.003985,0.000339,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.003960,0.000323,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
0.003941,0.000326,159,"/usr/include/x86_64-linux-gnu/bits/types/timer_t.h"
0.003851,0.003851,7167,"/usr/include/c++/7/backward/binders.h"
0.003173,0.002669,3290,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes-arch.h"
0.002943,0.002943,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.002898,0.002898,1811,"/usr/include/c++/7/bits/cxxabi_forced.h"
0.002806,0.001973,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.002445,0.002445,2284,"/usr/include/x86_64-linux-gnu/c++/7/bits/ctype_inline.h"
0.002317,0.002317,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
