"Total seconds","Self seconds","File size","File path"
0.105581,0.002594,3093,"/usr/include/c++/7/typeindex"
0.102987,0.004824,7692,"/usr/include/c++/7/typeinfo"
0.095943,0.068376,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.069200,0.001217,2280,"/usr/include/c++/7/bits/exception.h"
0.028963,0.001003,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.027193,0.001120,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.026073,0.010163,15541,"/usr/include/features.h"
0.014565,0.013802,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000886,0.000886,2363,"/usr/include/stdc-predef.h"
0.000494,0.000494,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000459,0.000459,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000374,0.000374,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000269,0.000269,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
