"Total seconds","Self seconds","File size","File path"
4.158673,0.002846,1856,"/usr/include/c++/7/unordered_set"
2.958143,0.081798,59617,"/usr/include/c++/7/tuple"
2.695173,0.013102,11385,"/usr/include/c++/7/array"
2.645051,0.017073,7975,"/usr/include/c++/7/stdexcept"
2.349109,0.002993,1940,"/usr/include/c++/7/string"
1.103077,1.075137,58031,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.981401,0.913164,92445,"/usr/include/c++/7/type_traits"
0.951496,0.194719,240793,"/usr/include/c++/7/bits/basic_string.h"
0.660941,0.049090,20745,"/usr/include/c++/7/bits/char_traits.h"
0.576650,0.045015,12447,"/usr/include/c++/7/utility"
0.536215,0.140014,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.403508,0.105037,73276,"/usr/include/c++/7/bits/hashtable.h"
0.362429,0.035386,18642,"/usr/include/c++/7/bits/stl_pair.h"
0.307268,0.004605,3597,"/usr/include/c++/7/ext/string_conversions.h"
0.283604,0.041632,6653,"/usr/include/c++/7/bits/move.h"
0.281091,0.005550,4777,"/usr/include/c++/7/exception"
0.231971,0.006351,5646,"/usr/include/c++/7/bits/localefwd.h"
0.217395,0.011935,6888,"/usr/include/c++/7/bits/allocator.h"
0.216349,0.018790,6509,"/usr/include/c++/7/cwchar"
0.207509,0.026659,21299,"/usr/include/c++/7/string_view"
0.201515,0.002886,3509,"/usr/include/c++/7/ext/atomicity.h"
0.180919,0.008814,8165,"/usr/include/c++/7/bits/node_handle.h"
0.169312,0.001576,5608,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr.h"
0.167736,0.021750,24237,"/usr/include/x86_64-linux-gnu/c++/7/bits/gthr-default.h"
0.163159,0.006553,6464,"/usr/include/c++/7/bits/exception_ptr.h"
0.157491,0.042232,31123,"/usr/include/c++/7/optional"
0.145986,0.031519,41269,"/usr/include/pthread.h"
0.128329,0.100122,69181,"/usr/include/c++/7/limits"
0.124663,0.009772,8680,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.122416,0.000827,1849,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++allocator.h"
0.121589,0.005133,4805,"/usr/include/c++/7/ext/new_allocator.h"
0.119706,0.008472,8208,"/usr/include/c++/7/bits/postypes.h"
0.117552,0.083464,67045,"/usr/include/c++/7/bits/hashtable_policy.h"
0.113410,0.065177,31111,"/usr/include/wchar.h"
0.109595,0.004711,4439,"/usr/include/c++/7/cstdio"
0.108628,0.092392,15541,"/usr/include/features.h"
0.101230,0.001859,2409,"/usr/include/c++/7/cctype"
0.091452,0.064019,41744,"/usr/include/c++/7/bits/stl_iterator.h"
0.089553,0.007340,6383,"/usr/include/c++/7/bits/uses_allocator.h"
0.082288,0.003667,3657,"/usr/include/c++/7/bits/invoke.h"
0.080515,0.002821,3742,"/usr/include/c++/7/ext/aligned_buffer.h"
0.077952,0.022920,29665,"/usr/include/stdio.h"
0.076144,0.075487,53755,"/usr/include/c++/7/bits/basic_string.tcc"
0.073242,0.043899,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.073155,0.065310,33276,"/usr/include/c++/7/bits/stl_function.h"
0.071517,0.016249,10963,"/usr/include/ctype.h"
0.067491,0.058662,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.066925,0.003673,2607,"/usr/include/c++/7/bits/stringfwd.h"
0.063591,0.006456,6325,"/usr/include/c++/7/cstdlib"
0.061476,0.061476,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.057777,0.003148,3307,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++locale.h"
0.055219,0.008668,10360,"/usr/include/time.h"
0.054629,0.001056,1905,"/usr/include/c++/7/clocale"
0.052615,0.016068,5914,"/usr/include/c++/7/ext/type_traits.h"
0.046744,0.001850,2220,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.045613,0.012246,6918,"/usr/include/c++/7/iosfwd"
0.044236,0.044236,53824,"/usr/include/c++/7/bits/unordered_set.h"
0.043651,0.000836,1770,"/usr/include/c++/7/cerrno"
0.042837,0.002856,2280,"/usr/include/c++/7/bits/exception.h"
0.040407,0.003545,2167,"/usr/include/c++/7/cstdint"
0.040353,0.007269,7507,"/usr/include/c++/7/new"
0.039932,0.003990,4732,"/usr/include/sched.h"
0.039633,0.004620,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.038265,0.005589,7692,"/usr/include/c++/7/typeinfo"
0.037938,0.007494,3254,"/usr/include/c++/7/bits/functexcept.h"
0.037017,0.008658,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.035994,0.029548,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.034801,0.005055,3189,"/usr/include/endian.h"
0.032933,0.004239,3423,"/usr/include/c++/7/bits/concept_check.h"
0.032758,0.002884,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.032476,0.001867,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.032093,0.016299,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.030208,0.002694,3290,"/usr/include/c++/7/bits/std_abs.h"
0.029919,0.002384,2974,"/usr/include/c++/7/initializer_list"
0.028133,0.027372,8194,"/usr/include/c++/7/bits/functional_hash.h"
0.027561,0.001138,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.027467,0.015241,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.026521,0.026521,9988,"/usr/include/c++/7/bits/range_access.h"
0.026046,0.002934,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.021828,0.005426,7674,"/usr/include/locale.h"
0.018613,0.006750,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.016733,0.009966,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015392,0.001165,1832,"/usr/include/errno.h"
0.015276,0.002720,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014877,0.014110,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.014711,0.010833,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.014009,0.001799,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.011732,0.011732,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.011385,0.008976,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.010960,0.010960,12387,"/usr/include/c++/7/bits/enable_special_members.h"
0.009098,0.002611,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008349,0.000454,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.008301,0.003938,4002,"/usr/include/c++/7/bits/ostream_insert.h"
0.008025,0.008025,6632,"/usr/include/c++/7/bits/string_view.tcc"
0.007945,0.000579,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.007895,0.007895,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.007880,0.000832,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007048,0.000144,23,"/usr/include/linux/errno.h"
0.006904,0.000160,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006744,0.005037,5648,"/usr/include/asm-generic/errno.h"
0.006716,0.006716,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006487,0.003284,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.006468,0.006468,4072,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdarg.h"
0.006312,0.005340,5221,"/usr/include/c++/7/debug/debug.h"
