"Total seconds","Self seconds","File size","File path"
3.562500,0.140625,40274,"/usr/include/c++/7/valarray"
1.625000,0.078125,48484,"/usr/include/c++/7/cmath"
1.343750,0.031250,45086,"/usr/include/c++/7/bits/specfun.h"
1.187500,0.000000,2518,"/usr/include/c++/7/algorithm"
1.015625,0.984375,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.875000,0.125000,50403,"/usr/include/c++/7/bits/stl_algobase.h"
0.671875,0.203125,213859,"/usr/include/c++/7/bits/stl_algo.h"
0.640625,0.546875,91603,"/usr/include/c++/7/type_traits"
0.468750,0.000000,12493,"/usr/include/c++/7/utility"
0.421875,0.062500,18478,"/usr/include/c++/7/bits/stl_pair.h"
0.312500,0.046875,6653,"/usr/include/c++/7/bits/move.h"
0.281250,0.000000,4777,"/usr/include/c++/7/exception"
0.218750,0.140625,21743,"/usr/include/c++/7/bits/valarray_array.h"
0.203125,0.171875,69181,"/usr/include/c++/7/limits"
0.171875,0.171875,22655,"/usr/include/c++/7/bits/valarray_after.h"
0.171875,0.000000,6329,"/usr/include/c++/7/bits/exception_ptr.h"
0.156250,0.015625,10147,"/usr/include/c++/7/bits/uniform_int_dist.h"
0.125000,0.000000,8344,"/usr/include/c++/7/bits/stl_tempbuf.h"
0.125000,0.000000,8657,"/usr/include/c++/7/bits/stl_iterator_base_types.h"
0.109375,0.062500,9594,"/usr/include/c++/7/bits/cpp_type_traits.h"
0.093750,0.031250,6130,"/usr/include/c++/7/cstdlib"
0.093750,0.015625,7397,"/usr/include/c++/7/bits/stl_construct.h"
0.078125,0.046875,41543,"/usr/include/c++/7/bits/stl_iterator.h"
0.078125,0.031250,21737,"/usr/include/c++/7/bits/algorithmfwd.h"
0.078125,0.015625,5658,"/usr/include/c++/7/ext/alloc_traits.h"
0.062500,0.015625,5914,"/usr/include/c++/7/ext/type_traits.h"
0.062500,0.015625,19585,"/usr/include/c++/7/bits/alloc_traits.h"
0.046875,0.046875,28070,"/usr/include/c++/7/tr1/hypergeometric.tcc"
0.046875,0.046875,27728,"/usr/include/c++/7/tr1/ell_integral.tcc"
0.046875,0.031250,4575,"/usr/include/c++/7/ext/numeric_traits.h"
0.046875,0.031250,18513,"/usr/include/c++/7/bits/valarray_before.h"
0.046875,0.031250,20206,"/usr/include/c++/7/bits/stl_heap.h"
0.046875,0.015625,7507,"/usr/include/c++/7/new"
0.046875,0.015625,2974,"/usr/include/c++/7/initializer_list"
0.046875,0.015625,2167,"/usr/include/c++/7/cstdint"
0.046875,0.015625,3266,"/usr/include/c++/7/bits/std_abs.h"
0.046875,0.015625,4768,"/usr/include/c++/7/bits/nested_exception.h"
0.046875,0.015625,2146,"/usr/include/c++/7/bits/hash_bytes.h"
0.046875,0.000000,7692,"/usr/include/c++/7/typeinfo"
0.046875,0.000000,2156,"/usr/include/c++/7/bits/cxxabi_init_exception.h"
0.031250,0.031250,5059,"/usr/include/c++/7/tr1/special_function_util.h"
0.031250,0.031250,22477,"/usr/include/c++/7/tr1/bessel_function.tcc"
0.031250,0.031250,9083,"/usr/include/c++/7/bits/predefined_ops.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.031250,0.015625,14067,"/usr/include/c++/7/tr1/riemann_zeta.tcc"
0.031250,0.015625,14686,"/usr/include/c++/7/tr1/gamma.tcc"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,2419,"/usr/include/c++/7/bits/memoryfwd.h"
0.031250,0.000000,3254,"/usr/include/c++/7/bits/functexcept.h"
0.031250,0.000000,2280,"/usr/include/c++/7/bits/exception.h"
0.031250,0.000000,3423,"/usr/include/c++/7/bits/concept_check.h"
0.015625,0.015625,14140,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stddef.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,3929,"/usr/include/c++/7/tr1/poly_hermite.tcc"
0.015625,0.015625,15926,"/usr/include/c++/7/tr1/modified_bessel_func.tcc"
0.015625,0.015625,10913,"/usr/include/c++/7/tr1/legendre_function.tcc"
0.015625,0.015625,16010,"/usr/include/c++/7/tr1/exp_integral.tcc"
0.015625,0.015625,8071,"/usr/include/c++/7/bits/stl_iterator_base_funcs.h"
0.015625,0.015625,9348,"/usr/include/c++/7/bits/slice_array.h"
0.015625,0.015625,7595,"/usr/include/c++/7/bits/mask_array.h"
0.015625,0.015625,7861,"/usr/include/c++/7/bits/indirect_array.h"
0.015625,0.015625,7769,"/usr/include/c++/7/bits/gslice_array.h"
0.015625,0.015625,5518,"/usr/include/c++/7/bits/gslice.h"
0.015625,0.000000,4860,"/usr/include/c++/7/bits/ptr_traits.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,11680,"/usr/include/c++/7/tr1/poly_laguerre.tcc"
0.000000,0.000000,5999,"/usr/include/c++/7/tr1/beta_function.tcc"
0.000000,0.000000,5221,"/usr/include/c++/7/debug/debug.h"
0.000000,0.000000,2411,"/usr/include/c++/7/debug/assertions.h"
0.000000,0.000000,7254,"/usr/include/c++/7/bits/valarray_array.tcc"
0.000000,0.000000,4599,"/usr/include/c++/7/bits/stl_relops.h"
0.000000,0.000000,1645,"/usr/include/c++/7/bits/exception_defines.h"
