"Seconds","Header"
0.062569,"ciso646"
0.065529,"cstdalign"
0.066579,"cstdbool"
0.067131,"initializer_list"
0.068661,"cstdarg"
0.070766,"cfloat"
0.074965,"cstdint"
0.075127,"cassert"
0.077906,"csetjmp"
0.078978,"cerrno"
0.081872,"cstddef"
0.081970,"climits"
0.083589,"clocale"
0.091973,"cfenv"
0.094403,"cinttypes"
0.101349,"cstdlib"
0.103201,"typeindex"
0.103877,"typeinfo"
0.124748,"cstring"
0.134947,"ctime"
0.136224,"cctype"
0.147294,"cwchar"
0.148817,"cwctype"
0.161817,"cstdio"
0.162349,"type_traits"
0.164227,"limits"
0.187133,"csignal"
0.189957,"cuchar"
0.231196,"iosfwd"
0.239531,"ratio"
0.327624,"atomic"
0.460051,"exception"
0.469132,"new"
0.486701,"numeric"
0.489271,"utility"
0.492123,"charconv"
0.600183,"chrono"
0.769143,"any"
1.243442,"cmath"
1.279485,"string_view"
1.505234,"forward_list"
1.535138,"variant"
1.562295,"list"
1.638839,"deque"
1.739161,"algorithm"
1.746905,"vector"
1.799595,"stack"
2.181255,"queue"
2.845362,"bitset"
2.866354,"stdexcept"
2.868032,"codecvt"
2.882614,"array"
2.949082,"valarray"
2.957818,"string"
3.058590,"system_error"
3.205402,"optional"
3.239113,"streambuf"
3.373044,"tuple"
3.409868,"scoped_allocator"
3.442968,"ios"
3.618319,"iostream"
3.618891,"set"
3.653939,"ostream"
3.738312,"istream"
3.765321,"sstream"
3.833336,"iterator"
3.839335,"fstream"
3.970532,"map"
3.983722,"mutex"
4.110144,"unordered_set"
4.178667,"unordered_map"
4.217387,"ccomplex"
4.248337,"complex"
4.394178,"locale"
4.402641,"ctgmath"
4.419831,"memory"
4.422032,"condition_variable"
4.597133,"shared_mutex"
4.631368,"iomanip"
4.639454,"experimental/memory_resource"
4.734855,"random"
5.012632,"thread"
5.274565,"functional"
6.204188,"future"
6.239713,"filesystem"
7.640244,"regex"
