"Total seconds","Self seconds","File size","File path"
0.769143,0.019528,17906,"/usr/include/c++/8/any"
0.346420,0.011893,7521,"/usr/include/c++/8/new"
0.341031,0.313394,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.338285,0.313578,87482,"/usr/include/c++/8/type_traits"
0.309901,0.003241,4801,"/usr/include/c++/8/exception"
0.234837,0.012948,12303,"/usr/include/c++/8/utility"
0.208182,0.003862,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.185794,0.012581,6529,"/usr/include/c++/8/bits/move.h"
0.097769,0.004856,7692,"/usr/include/c++/8/typeinfo"
0.093925,0.020059,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.072928,0.005163,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.068201,0.002095,2280,"/usr/include/c++/8/bits/exception.h"
0.038056,0.001495,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.027691,0.002277,2974,"/usr/include/c++/8/initializer_list"
0.027298,0.001397,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026476,0.001730,3423,"/usr/include/c++/8/bits/concept_check.h"
0.025901,0.011233,15541,"/usr/include/features.h"
0.025530,0.000929,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.013401,0.012785,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.009240,0.009240,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.001827,0.001827,4594,"/usr/include/c++/8/bits/stl_relops.h"
0.000853,0.000853,2363,"/usr/include/stdc-predef.h"
0.000810,0.000810,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000441,0.000441,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000414,0.000414,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000339,0.000339,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000175,0.000175,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
