"Total seconds","Self seconds","File size","File path"
2.882614,0.012938,11657,"/usr/include/c++/8/array"
2.381851,0.006506,7975,"/usr/include/c++/8/stdexcept"
2.160638,0.002674,1940,"/usr/include/c++/8/string"
0.932542,0.906654,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.866745,0.161133,242567,"/usr/include/c++/8/bits/basic_string.h"
0.617697,0.038780,20813,"/usr/include/c++/8/bits/char_traits.h"
0.496224,0.471301,87482,"/usr/include/c++/8/type_traits"
0.453516,0.014372,12303,"/usr/include/c++/8/utility"
0.449409,0.101221,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.293207,0.004341,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.285799,0.033484,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.216579,0.004845,4801,"/usr/include/c++/8/exception"
0.209459,0.033841,6529,"/usr/include/c++/8/bits/move.h"
0.206223,0.005237,5646,"/usr/include/c++/8/bits/localefwd.h"
0.201575,0.007510,7569,"/usr/include/c++/8/bits/allocator.h"
0.196963,0.017472,6509,"/usr/include/c++/8/cwchar"
0.190458,0.024779,21004,"/usr/include/c++/8/string_view"
0.179384,0.002680,3509,"/usr/include/c++/8/ext/atomicity.h"
0.151121,0.001364,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.149757,0.019939,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.130162,0.005253,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.129818,0.029364,41269,"/usr/include/pthread.h"
0.121358,0.096874,69181,"/usr/include/c++/8/limits"
0.118765,0.000975,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.117790,0.005707,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.108568,0.004581,4439,"/usr/include/c++/8/cstdio"
0.108371,0.007788,8208,"/usr/include/c++/8/bits/postypes.h"
0.107222,0.009033,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.105660,0.061086,31111,"/usr/include/wchar.h"
0.101690,0.086888,15541,"/usr/include/features.h"
0.093059,0.001694,2409,"/usr/include/c++/8/cctype"
0.083101,0.059057,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.078953,0.022307,29665,"/usr/include/stdio.h"
0.066690,0.015011,10963,"/usr/include/ctype.h"
0.062720,0.037662,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.060713,0.053370,41745,"/usr/include/c++/8/bits/stl_function.h"
0.060029,0.059385,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.059357,0.006251,6325,"/usr/include/c++/8/cstdlib"
0.058570,0.050241,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.056529,0.056529,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.053660,0.003296,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.048525,0.016994,5914,"/usr/include/c++/8/ext/type_traits.h"
0.048371,0.002746,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.047188,0.007975,10360,"/usr/include/time.h"
0.045625,0.000948,1905,"/usr/include/c++/8/clocale"
0.040900,0.011672,6918,"/usr/include/c++/8/iosfwd"
0.040457,0.000833,1770,"/usr/include/c++/8/cerrno"
0.036087,0.003644,4732,"/usr/include/sched.h"
0.036036,0.007735,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.035376,0.001490,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.034408,0.001975,2167,"/usr/include/c++/8/cstdint"
0.034320,0.019477,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.032745,0.005865,7521,"/usr/include/c++/8/new"
0.031883,0.004557,3189,"/usr/include/endian.h"
0.031864,0.003813,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.031364,0.004612,7692,"/usr/include/c++/8/typeinfo"
0.030566,0.005357,3254,"/usr/include/c++/8/bits/functexcept.h"
0.029247,0.003985,3423,"/usr/include/c++/8/bits/concept_check.h"
0.027557,0.002613,3290,"/usr/include/c++/8/bits/std_abs.h"
0.027323,0.002746,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.026973,0.002277,2974,"/usr/include/c++/8/initializer_list"
0.026610,0.001615,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.026379,0.001987,2280,"/usr/include/c++/8/bits/exception.h"
0.025547,0.001054,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025399,0.014360,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.024867,0.017697,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.024049,0.002778,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.019910,0.004795,7674,"/usr/include/locale.h"
0.019115,0.019115,10030,"/usr/include/c++/8/bits/range_access.h"
0.017229,0.006292,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.016988,0.016316,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.015303,0.009213,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.014900,0.001137,1832,"/usr/include/errno.h"
0.014432,0.002714,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.013622,0.013000,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013177,0.001705,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.012742,0.009249,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.010897,0.010897,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.010638,0.008307,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
