"Total seconds","Self seconds","File size","File path"
0.492123,0.021971,16708,"/usr/include/c++/8/charconv"
0.164970,0.101540,87482,"/usr/include/c++/8/type_traits"
0.164177,0.137511,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.138707,0.112968,69181,"/usr/include/c++/8/limits"
0.096114,0.001786,2409,"/usr/include/c++/8/cctype"
0.070361,0.004331,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
0.069071,0.015064,10963,"/usr/include/ctype.h"
0.056943,0.042253,15541,"/usr/include/features.h"
0.041228,0.000852,1770,"/usr/include/c++/8/cerrno"
0.030857,0.003096,3189,"/usr/include/endian.h"
0.026325,0.001033,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.022098,0.013328,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.017450,0.006213,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.015427,0.001341,1832,"/usr/include/errno.h"
0.013485,0.012858,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007550,0.000912,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.006638,0.000138,23,"/usr/include/linux/errno.h"
0.006500,0.000151,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006349,0.004788,5648,"/usr/include/asm-generic/errno.h"
0.004194,0.000848,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.002167,0.002167,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001561,0.001561,1612,"/usr/include/asm-generic/errno-base.h"
0.001404,0.001404,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.001054,0.001054,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.001052,0.000396,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000790,0.000790,2363,"/usr/include/stdc-predef.h"
0.000656,0.000656,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000415,0.000415,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000341,0.000341,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000179,0.000179,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
0.000178,0.000178,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
