"Total seconds","Self seconds","File size","File path"
0.094403,0.001470,2157,"/usr/include/c++/8/cinttypes"
0.072389,0.001896,2167,"/usr/include/c++/8/cstdint"
0.062878,0.036748,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.030666,0.015778,15541,"/usr/include/features.h"
0.025719,0.001047,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.020544,0.014550,11892,"/usr/include/inttypes.h"
0.013648,0.013021,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007615,0.000394,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007221,0.007221,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.000821,0.000821,2363,"/usr/include/stdc-predef.h"
0.000444,0.000444,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000419,0.000419,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000411,0.000411,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000183,0.000183,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
