"Total seconds","Self seconds","File size","File path"
0.083589,0.000947,1905,"/usr/include/c++/8/clocale"
0.062054,0.036139,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.030688,0.015775,15541,"/usr/include/features.h"
0.025576,0.001040,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.020588,0.004686,7674,"/usr/include/locale.h"
0.013685,0.013056,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007878,0.007878,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.001050,0.000399,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000822,0.000822,1367,"/usr/include/x86_64-linux-gnu/bits/locale.h"
0.000810,0.000810,2363,"/usr/include/stdc-predef.h"
0.000651,0.000651,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000444,0.000444,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000418,0.000418,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000339,0.000339,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000185,0.000185,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
