"Total seconds","Self seconds","File size","File path"
4.248337,0.079246,54537,"/usr/include/c++/8/complex"
2.850262,0.020623,26871,"/usr/include/c++/8/sstream"
2.806745,0.018656,32843,"/usr/include/c++/8/istream"
2.700981,0.001819,1601,"/usr/include/c++/8/ios"
1.538499,0.070122,30997,"/usr/include/c++/8/bits/ios_base.h"
1.186648,1.159770,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.179228,0.056509,48142,"/usr/include/c++/8/cmath"
1.174357,0.031737,24897,"/usr/include/c++/8/bits/locale_classes.h"
1.128895,0.003615,1940,"/usr/include/c++/8/string"
1.057884,0.029308,47051,"/usr/include/c++/8/bits/specfun.h"
0.679079,0.104301,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.619587,0.182381,242567,"/usr/include/c++/8/bits/basic_string.h"
0.524777,0.499568,87482,"/usr/include/c++/8/type_traits"
0.346035,0.009702,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.301209,0.065278,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.295523,0.024325,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.269815,0.004573,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.240982,0.005129,4801,"/usr/include/c++/8/exception"
0.218823,0.034997,6529,"/usr/include/c++/8/bits/move.h"
0.217705,0.025834,6918,"/usr/include/c++/8/iosfwd"
0.211305,0.009058,7569,"/usr/include/c++/8/bits/allocator.h"
0.206324,0.018276,6509,"/usr/include/c++/8/cwchar"
0.202046,0.024247,5646,"/usr/include/c++/8/bits/localefwd.h"
0.193551,0.006861,3509,"/usr/include/c++/8/ext/atomicity.h"
0.177885,0.057744,20813,"/usr/include/c++/8/bits/char_traits.h"
0.171661,0.146244,69181,"/usr/include/c++/8/limits"
0.160418,0.001634,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.158784,0.020688,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.148609,0.008009,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.138096,0.029529,41269,"/usr/include/pthread.h"
0.133275,0.003324,2409,"/usr/include/c++/8/cctype"
0.124195,0.026276,21004,"/usr/include/c++/8/string_view"
0.119936,0.043901,30017,"/usr/include/c++/8/streambuf"
