"Total seconds","Self seconds","File size","File path"
4.422032,0.011601,8954,"/usr/include/c++/8/condition_variable"
2.694229,0.009400,9298,"/usr/include/c++/8/bits/std_mutex.h"
2.679819,0.013916,11522,"/usr/include/c++/8/system_error"
2.371393,0.011489,7975,"/usr/include/c++/8/stdexcept"
1.999969,0.002814,1940,"/usr/include/c++/8/string"
1.121497,1.093653,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.100845,1.035100,87482,"/usr/include/c++/8/type_traits"
0.765065,0.169259,242567,"/usr/include/c++/8/bits/basic_string.h"
0.645825,0.027181,26022,"/usr/include/c++/8/bits/unique_ptr.h"
0.637912,0.035366,29874,"/usr/include/c++/8/chrono"
0.607535,0.044245,20813,"/usr/include/c++/8/bits/char_traits.h"
0.567239,0.102970,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.393350,0.023709,23354,"/usr/include/c++/8/bits/shared_ptr.h"
0.369641,0.081808,54207,"/usr/include/c++/8/bits/shared_ptr_base.h"
0.361899,0.004952,4801,"/usr/include/c++/8/exception"
0.341750,0.101244,60312,"/usr/include/c++/8/tuple"
0.291181,0.004497,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.230981,0.026476,19886,"/usr/include/c++/8/ratio"
0.230322,0.199717,69181,"/usr/include/c++/8/limits"
0.206519,0.018584,6509,"/usr/include/c++/8/cwchar"
0.206063,0.015098,6918,"/usr/include/c++/8/iosfwd"
0.200847,0.012449,7569,"/usr/include/c++/8/bits/allocator.h"
0.177494,0.009133,5646,"/usr/include/c++/8/bits/localefwd.h"
0.175423,0.046253,6529,"/usr/include/c++/8/bits/move.h"
0.165324,0.004199,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.159188,0.151809,41745,"/usr/include/c++/8/bits/stl_function.h"
0.150500,0.030737,12303,"/usr/include/c++/8/utility"
0.142538,0.002771,3509,"/usr/include/c++/8/ext/atomicity.h"
0.135274,0.005572,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.122095,0.010047,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.121214,0.026403,21004,"/usr/include/c++/8/string_view"
0.114830,0.034396,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.113231,0.001738,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.113080,0.000911,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.112968,0.098050,15541,"/usr/include/features.h"
0.112945,0.008041,8208,"/usr/include/c++/8/bits/postypes.h"
0.112169,0.005018,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.111493,0.024973,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.109718,0.004791,4439,"/usr/include/c++/8/cstdio"
