"Total seconds","Self seconds","File size","File path"
0.065529,0.000885,1407,"/usr/include/c++/8/cstdalign"
0.064191,0.037454,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.026380,0.001122,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025258,0.009960,15541,"/usr/include/features.h"
0.013995,0.013330,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000843,0.000843,2363,"/usr/include/stdc-predef.h"
0.000468,0.000468,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000460,0.000460,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000453,0.000453,1210,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdalign.h"
0.000357,0.000357,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000197,0.000197,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
