"Total seconds","Self seconds","File size","File path"
0.074965,0.001931,2167,"/usr/include/c++/8/cstdint"
0.065327,0.037753,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.027214,0.001104,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026110,0.010553,15541,"/usr/include/features.h"
0.014168,0.013474,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007707,0.000403,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007304,0.007304,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.000921,0.000921,2363,"/usr/include/stdc-predef.h"
0.000482,0.000482,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000468,0.000468,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000360,0.000360,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000212,0.000212,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
