"Total seconds","Self seconds","File size","File path"
4.402641,0.000867,1360,"/usr/include/c++/8/ctgmath"
3.087625,0.084729,54537,"/usr/include/c++/8/complex"
2.885165,0.021874,26871,"/usr/include/c++/8/sstream"
2.841521,0.017943,32843,"/usr/include/c++/8/istream"
2.742496,0.001843,1601,"/usr/include/c++/8/ios"
1.572234,0.068670,30997,"/usr/include/c++/8/bits/ios_base.h"
1.394409,0.101088,48142,"/usr/include/c++/8/cmath"
1.231514,1.204621,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.198549,0.033300,24897,"/usr/include/c++/8/bits/locale_classes.h"
1.151023,0.003635,1940,"/usr/include/c++/8/string"
1.085839,0.029316,47051,"/usr/include/c++/8/bits/specfun.h"
0.693684,0.104515,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.629676,0.166994,242567,"/usr/include/c++/8/bits/basic_string.h"
0.539012,0.512709,87482,"/usr/include/c++/8/type_traits"
0.352579,0.013838,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.302400,0.023653,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.302351,0.058076,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.283739,0.004775,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.232380,0.005182,4801,"/usr/include/c++/8/exception"
0.224531,0.036280,6529,"/usr/include/c++/8/bits/move.h"
0.223258,0.026678,6918,"/usr/include/c++/8/iosfwd"
0.218906,0.018738,6509,"/usr/include/c++/8/cwchar"
0.212386,0.008235,7569,"/usr/include/c++/8/bits/allocator.h"
0.205676,0.024032,5646,"/usr/include/c++/8/bits/localefwd.h"
0.196704,0.006942,3509,"/usr/include/c++/8/ext/atomicity.h"
0.184283,0.061733,20813,"/usr/include/c++/8/bits/char_traits.h"
0.174145,0.148069,69181,"/usr/include/c++/8/limits"
0.162853,0.001646,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.161207,0.021699,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.139508,0.031520,41269,"/usr/include/pthread.h"
0.138361,0.005760,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.135558,0.003349,2409,"/usr/include/c++/8/cctype"
0.132635,0.033421,21004,"/usr/include/c++/8/string_view"
0.125195,0.001018,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.124177,0.005675,4805,"/usr/include/c++/8/ext/new_allocator.h"
