"Total seconds","Self seconds","File size","File path"
0.189957,0.001568,2210,"/usr/include/c++/8/cuchar"
0.106512,0.007512,6509,"/usr/include/c++/8/cwchar"
0.091270,0.064213,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.072742,0.025229,31111,"/usr/include/wchar.h"
0.051339,0.035831,15541,"/usr/include/features.h"
0.026704,0.001118,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025175,0.002649,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.017150,0.017150,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.016865,0.001845,2312,"/usr/include/uchar.h"
0.016250,0.009757,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.014169,0.013496,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007971,0.001415,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.001880,0.001880,4072,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdarg.h"
0.001080,0.000399,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000988,0.000487,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000891,0.000891,2363,"/usr/include/stdc-predef.h"
0.000711,0.000711,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000681,0.000681,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000501,0.000501,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000478,0.000478,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000478,0.000478,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000448,0.000448,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000406,0.000406,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000353,0.000353,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000248,0.000248,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000213,0.000213,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
