"Total seconds","Self seconds","File size","File path"
0.148817,0.002311,2793,"/usr/include/c++/8/cwctype"
0.079765,0.003671,5548,"/usr/include/wctype.h"
0.066741,0.039693,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.052517,0.013520,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.050829,0.035324,15541,"/usr/include/features.h"
0.035263,0.003306,3189,"/usr/include/endian.h"
0.028282,0.019151,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.026695,0.001180,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.018710,0.007207,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.014208,0.013538,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.006713,0.000930,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.002238,0.002238,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001472,0.001472,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.001230,0.000489,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.001157,0.001157,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.000858,0.000858,2363,"/usr/include/stdc-predef.h"
0.000841,0.000841,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000741,0.000741,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000439,0.000439,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000353,0.000353,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000202,0.000202,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
0.000196,0.000196,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
