"Total seconds","Self seconds","File size","File path"
0.462057,0.005045,4801,"/usr/include/c++/8/exception"
0.306436,0.279170,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.221664,0.004216,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.191132,0.006041,6529,"/usr/include/c++/8/bits/move.h"
0.138332,0.005507,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.130381,0.104205,87482,"/usr/include/c++/8/type_traits"
0.037871,0.001595,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.034497,0.006340,7521,"/usr/include/c++/8/new"
0.033588,0.005016,7692,"/usr/include/c++/8/typeinfo"
0.031251,0.002237,2280,"/usr/include/c++/8/bits/exception.h"
0.028473,0.001811,3423,"/usr/include/c++/8/bits/concept_check.h"
0.027672,0.000997,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.026906,0.001133,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025773,0.010267,15541,"/usr/include/features.h"
0.014206,0.013548,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.009799,0.009799,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.000861,0.000861,2363,"/usr/include/stdc-predef.h"
0.000806,0.000806,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000477,0.000477,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000439,0.000439,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000360,0.000360,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000181,0.000181,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
