"Total seconds","Self seconds","File size","File path"
6.239713,0.001264,1438,"/usr/include/c++/8/filesystem"
3.457948,0.016520,10279,"/usr/include/c++/8/bits/fs_fwd.h"
3.086543,0.032359,11522,"/usr/include/c++/8/system_error"
2.711413,0.012043,7975,"/usr/include/c++/8/stdexcept"
2.313384,0.046786,32598,"/usr/include/c++/8/bits/fs_path.h"
2.269813,0.003751,1940,"/usr/include/c++/8/string"
1.272564,1.245857,87482,"/usr/include/c++/8/type_traits"
1.252681,0.001406,1488,"/usr/include/c++/8/locale"
1.248646,1.221386,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.938053,0.188902,242567,"/usr/include/c++/8/bits/basic_string.h"
0.669618,0.058310,20813,"/usr/include/c++/8/bits/char_traits.h"
0.640583,0.169325,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.602069,0.032383,16097,"/usr/include/c++/8/bits/locale_conv.h"
0.554909,0.049961,26022,"/usr/include/c++/8/bits/unique_ptr.h"
0.469844,0.100561,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.453100,0.017237,14724,"/usr/include/c++/8/bits/fs_dir.h"
0.432477,0.005280,4801,"/usr/include/c++/8/exception"
0.395011,0.024027,23354,"/usr/include/c++/8/bits/shared_ptr.h"
0.371893,0.038803,29874,"/usr/include/c++/8/chrono"
0.370984,0.070641,54207,"/usr/include/c++/8/bits/shared_ptr_base.h"
0.359352,0.002121,2747,"/usr/include/c++/8/vector"
0.349476,0.092076,60312,"/usr/include/c++/8/tuple"
0.306064,0.005121,5053,"/usr/include/c++/8/bits/quoted_string.h"
0.300943,0.021154,26871,"/usr/include/c++/8/sstream"
0.294482,0.004802,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.256990,0.018678,32843,"/usr/include/c++/8/istream"
0.245122,0.051596,6529,"/usr/include/c++/8/bits/move.h"
0.238126,0.211154,69181,"/usr/include/c++/8/limits"
0.232414,0.043143,21004,"/usr/include/c++/8/string_view"
0.230600,0.004393,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.229898,0.033793,6918,"/usr/include/c++/8/iosfwd"
0.224795,0.018924,7569,"/usr/include/c++/8/bits/allocator.h"
0.212026,0.019183,6509,"/usr/include/c++/8/cwchar"
0.211327,0.027782,5646,"/usr/include/c++/8/bits/localefwd.h"
0.199577,0.006942,3509,"/usr/include/c++/8/ext/atomicity.h"
0.194992,0.044902,68980,"/usr/include/c++/8/bits/locale_facets_nonio.h"
0.173362,0.051704,12303,"/usr/include/c++/8/utility"
0.166029,0.158513,41745,"/usr/include/c++/8/bits/stl_function.h"
0.165266,0.001765,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.163501,0.022085,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.146732,0.001925,1601,"/usr/include/c++/8/ios"
0.141943,0.005755,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.141416,0.032011,41269,"/usr/include/pthread.h"
0.137805,0.003415,2409,"/usr/include/c++/8/cctype"
0.129043,0.059333,30017,"/usr/include/c++/8/streambuf"
