"Total seconds","Self seconds","File size","File path"
0.067131,0.002303,2974,"/usr/include/c++/8/initializer_list"
0.064828,0.038068,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.026404,0.001070,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025334,0.010234,15541,"/usr/include/features.h"
0.013817,0.013129,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000851,0.000851,2363,"/usr/include/stdc-predef.h"
0.000457,0.000457,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000432,0.000432,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000356,0.000356,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000231,0.000231,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
