"Total seconds","Self seconds","File size","File path"
3.442968,0.001336,1601,"/usr/include/c++/8/ios"
1.619369,0.060425,30997,"/usr/include/c++/8/bits/ios_base.h"
1.262372,0.032148,24897,"/usr/include/c++/8/bits/locale_classes.h"
1.216803,0.003589,1940,"/usr/include/c++/8/string"
1.113424,1.086206,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.711922,0.165589,242567,"/usr/include/c++/8/bits/basic_string.h"
0.641555,0.057246,20813,"/usr/include/c++/8/bits/char_traits.h"
0.524960,0.071695,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.451951,0.425889,87482,"/usr/include/c++/8/type_traits"
0.416246,0.005101,4801,"/usr/include/c++/8/exception"
0.331022,0.009044,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.303705,0.004521,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.283900,0.055154,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.258467,0.024586,6918,"/usr/include/c++/8/iosfwd"
0.221695,0.004157,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.220213,0.034567,6529,"/usr/include/c++/8/bits/move.h"
0.211008,0.008764,7569,"/usr/include/c++/8/bits/allocator.h"
0.208956,0.018082,6509,"/usr/include/c++/8/cwchar"
0.201394,0.022851,5646,"/usr/include/c++/8/bits/localefwd.h"
0.196299,0.025914,21004,"/usr/include/c++/8/string_view"
0.193890,0.006854,3509,"/usr/include/c++/8/ext/atomicity.h"
0.161108,0.001788,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.159320,0.020980,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.138340,0.029907,41269,"/usr/include/pthread.h"
0.136253,0.005533,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.132485,0.003211,2409,"/usr/include/c++/8/cctype"
0.123451,0.098122,69181,"/usr/include/c++/8/limits"
0.116057,0.007914,8208,"/usr/include/c++/8/bits/postypes.h"
0.115792,0.013607,11522,"/usr/include/c++/8/system_error"
0.113136,0.004777,4439,"/usr/include/c++/8/cstdio"
0.112964,0.000944,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.112720,0.097201,15541,"/usr/include/features.h"
0.112020,0.005058,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.112003,0.065035,31111,"/usr/include/wchar.h"
0.110953,0.009097,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.109742,0.044852,30017,"/usr/include/c++/8/streambuf"
0.106702,0.021682,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.084436,0.060597,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.079385,0.053456,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.078617,0.023089,29665,"/usr/include/stdio.h"
0.077732,0.023336,10963,"/usr/include/ctype.h"
0.074375,0.001726,1770,"/usr/include/c++/8/cerrno"
0.071047,0.062277,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.067756,0.067087,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.061703,0.004319,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
0.061390,0.002337,2793,"/usr/include/c++/8/cwctype"
0.060652,0.006492,6325,"/usr/include/c++/8/cstdlib"
0.059368,0.051989,41745,"/usr/include/c++/8/bits/stl_function.h"
0.058836,0.058836,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.057718,0.003405,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.056791,0.023053,5914,"/usr/include/c++/8/ext/type_traits.h"
0.051494,0.051494,39513,"/usr/include/c++/8/bits/locale_facets.tcc"
0.050997,0.002867,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.048983,0.008581,10360,"/usr/include/time.h"
0.048130,0.001006,1905,"/usr/include/c++/8/clocale"
0.041982,0.014281,10030,"/usr/include/c++/8/bits/range_access.h"
0.041410,0.003771,4732,"/usr/include/sched.h"
0.037718,0.023731,13758,"/usr/include/c++/8/bits/streambuf_iterator.h"
0.037429,0.005005,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.036731,0.001628,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.035671,0.002140,2167,"/usr/include/c++/8/cstdint"
0.035614,0.006612,3189,"/usr/include/endian.h"
0.034289,0.005952,7521,"/usr/include/c++/8/new"
0.033374,0.003638,5548,"/usr/include/wctype.h"
0.032994,0.004910,7692,"/usr/include/c++/8/typeinfo"
0.032269,0.005561,3254,"/usr/include/c++/8/bits/functexcept.h"
0.031890,0.016216,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.030455,0.004033,3423,"/usr/include/c++/8/bits/concept_check.h"
0.028911,0.002776,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.028757,0.002762,3290,"/usr/include/c++/8/bits/std_abs.h"
0.028729,0.021501,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.028713,0.016954,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.028248,0.002187,2280,"/usr/include/c++/8/bits/exception.h"
0.027912,0.001709,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.027701,0.002413,2974,"/usr/include/c++/8/initializer_list"
0.026874,0.001076,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.024814,0.002707,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.022750,0.022038,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.021041,0.005198,7674,"/usr/include/locale.h"
0.019292,0.014077,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.018025,0.006753,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.015954,0.001994,1832,"/usr/include/errno.h"
0.015949,0.009585,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015568,0.002875,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014147,0.013403,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013858,0.001777,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.013207,0.013207,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.013033,0.009516,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.010853,0.008579,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.009160,0.009160,6083,"/usr/include/c++/8/bits/basic_ios.tcc"
0.008612,0.008612,8375,"/usr/include/c++/8/bits/locale_classes.tcc"
0.008285,0.002294,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.007982,0.003770,4002,"/usr/include/c++/8/bits/ostream_insert.h"
0.007826,0.006935,5221,"/usr/include/c++/8/debug/debug.h"
0.007777,0.000434,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007721,0.007721,6698,"/usr/include/c++/8/bits/string_view.tcc"
0.007665,0.000884,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007536,0.000525,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.007401,0.006634,7975,"/usr/include/c++/8/stdexcept"
0.007343,0.007343,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.006781,0.000147,23,"/usr/include/linux/errno.h"
0.006634,0.000159,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006585,0.006585,4072,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdarg.h"
0.006475,0.004815,5648,"/usr/include/asm-generic/errno.h"
0.006415,0.006415,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.005991,0.003058,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.005298,0.001771,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.004783,0.001263,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004586,0.004586,4929,"/usr/include/c++/8/bits/streambuf.tcc"
0.004529,0.000937,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.004425,0.000862,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004294,0.000531,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.003829,0.000327,159,"/usr/include/x86_64-linux-gnu/bits/types/timer_t.h"
0.003825,0.000321,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
0.003798,0.003798,7167,"/usr/include/c++/8/backward/binders.h"
0.003759,0.000315,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.002933,0.002468,3290,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes-arch.h"
0.002879,0.002879,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.002523,0.001816,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.002209,0.002209,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.002041,0.002041,2411,"/usr/include/c++/8/debug/assertions.h"
0.001843,0.001843,3811,"/usr/include/x86_64-linux-gnu/bits/sched.h"
0.001816,0.001816,2284,"/usr/include/x86_64-linux-gnu/c++/8/bits/ctype_inline.h"
0.001660,0.001660,1612,"/usr/include/asm-generic/errno-base.h"
0.001499,0.001499,2316,"/usr/include/x86_64-linux-gnu/c++/8/bits/ctype_base.h"
0.001495,0.001495,1811,"/usr/include/c++/8/bits/cxxabi_forced.h"
0.001401,0.001401,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.001299,0.000829,1286,"/usr/include/x86_64-linux-gnu/bits/setjmp.h"
0.001186,0.001186,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.001177,0.001177,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.000918,0.000918,2363,"/usr/include/stdc-predef.h"
0.000894,0.000894,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000866,0.000866,1367,"/usr/include/x86_64-linux-gnu/bits/locale.h"
0.000797,0.000292,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000760,0.000760,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000707,0.000707,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000699,0.000699,1212,"/usr/include/x86_64-linux-gnu/bits/stdio_lim.h"
0.000572,0.000572,1518,"/usr/include/x86_64-linux-gnu/c++/8/bits/atomic_word.h"
0.000550,0.000550,1215,"/usr/include/x86_64-linux-gnu/bits/sys_errlist.h"
0.000474,0.000474,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000454,0.000454,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000419,0.000419,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000374,0.000374,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
0.000344,0.000344,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000186,0.000186,176,"/usr/include/x86_64-linux-gnu/bits/endian.h"
