"Total seconds","Self seconds","File size","File path"
3.618319,0.001626,2695,"/usr/include/c++/8/iostream"
3.484269,0.024801,21977,"/usr/include/c++/8/ostream"
3.441849,0.001835,1601,"/usr/include/c++/8/ios"
1.631633,0.067702,30997,"/usr/include/c++/8/bits/ios_base.h"
1.268343,0.031534,24897,"/usr/include/c++/8/bits/locale_classes.h"
1.223246,0.003599,1940,"/usr/include/c++/8/string"
1.145047,1.116746,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.730231,0.181962,242567,"/usr/include/c++/8/bits/basic_string.h"
0.662361,0.063705,20813,"/usr/include/c++/8/bits/char_traits.h"
0.521466,0.073767,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.431991,0.406265,87482,"/usr/include/c++/8/type_traits"
0.413599,0.005157,4801,"/usr/include/c++/8/exception"
0.338920,0.009379,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.299498,0.004617,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.294756,0.062601,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.218741,0.004226,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.217702,0.034822,6529,"/usr/include/c++/8/bits/move.h"
0.216788,0.025370,6918,"/usr/include/c++/8/iosfwd"
0.212131,0.020112,6509,"/usr/include/c++/8/cwchar"
0.205645,0.025544,21004,"/usr/include/c++/8/string_view"
0.201456,0.023227,5646,"/usr/include/c++/8/bits/localefwd.h"
0.197774,0.007934,7569,"/usr/include/c++/8/bits/allocator.h"
0.193975,0.006676,3509,"/usr/include/c++/8/ext/atomicity.h"
0.161124,0.001531,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.159593,0.025446,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.136638,0.005505,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.134147,0.030007,41269,"/usr/include/pthread.h"
0.133542,0.106892,69181,"/usr/include/c++/8/limits"
0.132152,0.003272,2409,"/usr/include/c++/8/cctype"
0.115273,0.010138,8208,"/usr/include/c++/8/bits/postypes.h"
0.115020,0.014444,11522,"/usr/include/c++/8/system_error"
0.114308,0.009227,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.113508,0.000945,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.113013,0.096754,15541,"/usr/include/features.h"
0.112906,0.067025,31111,"/usr/include/wchar.h"
0.112563,0.005112,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.109778,0.043254,30017,"/usr/include/c++/8/streambuf"
0.108074,0.004764,4439,"/usr/include/c++/8/cstdio"
0.098356,0.020642,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.093740,0.067654,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.079370,0.053437,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.077490,0.023622,10963,"/usr/include/ctype.h"
0.077200,0.022155,32843,"/usr/include/c++/8/istream"
0.077179,0.022761,29665,"/usr/include/stdio.h"
0.069892,0.001811,1770,"/usr/include/c++/8/cerrno"
0.067403,0.058693,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.063268,0.002353,2793,"/usr/include/c++/8/cwctype"
0.062963,0.062294,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.061919,0.006672,6325,"/usr/include/c++/8/cstdlib"
0.059399,0.052044,41745,"/usr/include/c++/8/bits/stl_function.h"
