"Total seconds","Self seconds","File size","File path"
3.833336,0.002354,2644,"/usr/include/c++/8/iterator"
3.230880,0.026282,21977,"/usr/include/c++/8/ostream"
3.186730,0.001903,1601,"/usr/include/c++/8/ios"
1.692130,0.068408,30997,"/usr/include/c++/8/bits/ios_base.h"
1.317954,0.032808,24897,"/usr/include/c++/8/bits/locale_classes.h"
1.271208,0.003663,1940,"/usr/include/c++/8/string"
1.202897,1.175612,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.752930,0.189042,242567,"/usr/include/c++/8/bits/basic_string.h"
0.472549,0.063754,20813,"/usr/include/c++/8/bits/char_traits.h"
0.449736,0.422286,87482,"/usr/include/c++/8/type_traits"
0.346906,0.009560,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.342653,0.078722,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.303936,0.004653,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.301035,0.062025,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.290407,0.090567,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.262159,0.005449,4801,"/usr/include/c++/8/exception"
0.228152,0.026306,6918,"/usr/include/c++/8/iosfwd"
0.219383,0.018878,6509,"/usr/include/c++/8/cwchar"
0.215271,0.026963,21004,"/usr/include/c++/8/string_view"
0.212553,0.023929,5646,"/usr/include/c++/8/bits/localefwd.h"
0.203953,0.007876,7569,"/usr/include/c++/8/bits/allocator.h"
0.200613,0.006971,3509,"/usr/include/c++/8/ext/atomicity.h"
0.176227,0.016109,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.165482,0.001553,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.163929,0.021360,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.162512,0.006131,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.144367,0.039318,6529,"/usr/include/c++/8/bits/move.h"
0.142569,0.031633,41269,"/usr/include/pthread.h"
0.139891,0.003376,2409,"/usr/include/c++/8/cctype"
0.139108,0.112030,69181,"/usr/include/c++/8/limits"
0.119323,0.014970,11522,"/usr/include/c++/8/system_error"
0.118379,0.044402,30017,"/usr/include/c++/8/streambuf"
0.118350,0.008369,8208,"/usr/include/c++/8/bits/postypes.h"
0.118304,0.000972,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.118228,0.069764,31111,"/usr/include/wchar.h"
0.117332,0.005255,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.116905,0.101371,15541,"/usr/include/features.h"
0.111744,0.022823,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.110616,0.004860,4439,"/usr/include/c++/8/cstdio"
0.085185,0.056187,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.082670,0.024491,10963,"/usr/include/ctype.h"
0.080509,0.018128,32843,"/usr/include/c++/8/istream"
0.079012,0.023314,29665,"/usr/include/stdio.h"
0.072227,0.062764,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.071472,0.001780,1770,"/usr/include/c++/8/cerrno"
0.069572,0.068904,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.066623,0.059059,41745,"/usr/include/c++/8/bits/stl_function.h"
0.064382,0.002461,2793,"/usr/include/c++/8/cwctype"
0.063712,0.063712,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.061466,0.003490,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.061384,0.006662,6325,"/usr/include/c++/8/cstdlib"
0.060766,0.004732,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
0.059092,0.024921,5914,"/usr/include/c++/8/ext/type_traits.h"
0.055879,0.055879,39513,"/usr/include/c++/8/bits/locale_facets.tcc"
0.053559,0.003081,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.052139,0.001806,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.051570,0.008593,10360,"/usr/include/time.h"
0.050942,0.050257,31093,"/usr/include/c++/8/bits/istream.tcc"
0.050478,0.001055,1905,"/usr/include/c++/8/clocale"
0.049621,0.020222,10030,"/usr/include/c++/8/bits/range_access.h"
0.049373,0.034305,13758,"/usr/include/c++/8/bits/streambuf_iterator.h"
0.043559,0.012865,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.040121,0.004010,4732,"/usr/include/sched.h"
0.039761,0.006905,7521,"/usr/include/c++/8/new"
0.038767,0.004665,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.038011,0.006953,3189,"/usr/include/endian.h"
0.037472,0.002238,2167,"/usr/include/c++/8/cstdint"
0.036420,0.005463,7692,"/usr/include/c++/8/typeinfo"
0.035633,0.005923,3254,"/usr/include/c++/8/bits/functexcept.h"
0.035570,0.005305,5702,"/usr/include/c++/8/ext/alloc_traits.h"
