"Total seconds","Self seconds","File size","File path"
4.419831,0.005093,4711,"/usr/include/c++/8/memory"
1.667822,0.027581,26022,"/usr/include/c++/8/bits/unique_ptr.h"
1.492617,0.082914,60312,"/usr/include/c++/8/tuple"
1.304190,0.013725,11657,"/usr/include/c++/8/array"
1.244158,0.007043,7975,"/usr/include/c++/8/stdexcept"
1.237115,0.002889,1940,"/usr/include/c++/8/string"
1.098679,1.071860,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.095236,1.068149,87482,"/usr/include/c++/8/type_traits"
0.844416,0.166388,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.710933,0.178167,242567,"/usr/include/c++/8/bits/basic_string.h"
0.513085,0.013620,7569,"/usr/include/c++/8/bits/allocator.h"
0.387673,0.022142,23354,"/usr/include/c++/8/bits/shared_ptr.h"
0.381628,0.000969,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.380659,0.005314,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.365531,0.066906,54207,"/usr/include/c++/8/bits/shared_ptr_base.h"
0.310129,0.004840,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.302275,0.035267,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.280544,0.031040,27649,"/usr/include/c++/8/bits/stl_uninitialized.h"
0.266384,0.012705,7521,"/usr/include/c++/8/new"
0.238877,0.004806,3509,"/usr/include/c++/8/ext/atomicity.h"
0.234061,0.046937,6529,"/usr/include/c++/8/bits/move.h"
0.227229,0.003174,4801,"/usr/include/c++/8/exception"
0.212399,0.018531,6509,"/usr/include/c++/8/cwchar"
0.209901,0.026553,21004,"/usr/include/c++/8/string_view"
0.207384,0.001573,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.205811,0.021041,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.193895,0.040729,12303,"/usr/include/c++/8/utility"
0.193319,0.185953,41745,"/usr/include/c++/8/bits/stl_function.h"
0.184770,0.033827,41269,"/usr/include/pthread.h"
0.184438,0.015752,6918,"/usr/include/c++/8/iosfwd"
0.170877,0.046615,20813,"/usr/include/c++/8/bits/char_traits.h"
0.145812,0.005741,5646,"/usr/include/c++/8/bits/localefwd.h"
0.134195,0.107149,69181,"/usr/include/c++/8/limits"
0.126848,0.007208,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.116952,0.009544,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.116648,0.008117,8208,"/usr/include/c++/8/bits/postypes.h"
0.114086,0.004816,4439,"/usr/include/c++/8/cstdio"
0.112943,0.065437,31111,"/usr/include/wchar.h"
0.107679,0.092375,15541,"/usr/include/features.h"
0.096213,0.002810,3293,"/usr/include/c++/8/bits/allocated_ptr.h"
0.094113,0.006431,3657,"/usr/include/c++/8/bits/invoke.h"
0.092471,0.011941,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.089748,0.003628,3972,"/usr/include/c++/8/ext/aligned_buffer.h"
0.085710,0.061714,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.082612,0.027292,29665,"/usr/include/stdio.h"
0.080107,0.040830,11884,"/usr/include/c++/8/bits/refwrap.h"
0.071552,0.045894,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.066206,0.065510,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.063807,0.006692,6325,"/usr/include/c++/8/cstdlib"
0.062885,0.053902,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.062451,0.009225,9769,"/usr/include/c++/8/bits/shared_ptr_atomic.h"
0.060531,0.060531,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.057106,0.001837,2409,"/usr/include/c++/8/cctype"
0.053226,0.026449,23842,"/usr/include/c++/8/bits/atomic_base.h"
0.052765,0.003049,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.052108,0.019037,5914,"/usr/include/c++/8/ext/type_traits.h"
0.050599,0.008554,10360,"/usr/include/time.h"
0.049716,0.001075,1905,"/usr/include/c++/8/clocale"
