"Total seconds","Self seconds","File size","File path"
3.983722,0.019639,18328,"/usr/include/c++/8/mutex"
3.390758,0.086946,60312,"/usr/include/c++/8/tuple"
2.630177,0.013988,11657,"/usr/include/c++/8/array"
2.568744,0.011565,7975,"/usr/include/c++/8/stdexcept"
2.317304,0.002902,1940,"/usr/include/c++/8/string"
1.145356,1.115496,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.929266,0.166720,242567,"/usr/include/c++/8/bits/basic_string.h"
0.919060,0.890052,87482,"/usr/include/c++/8/type_traits"
0.666500,0.042313,20813,"/usr/include/c++/8/bits/char_traits.h"
0.520976,0.023483,12303,"/usr/include/c++/8/utility"
0.491938,0.112720,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.359003,0.036941,29874,"/usr/include/c++/8/chrono"
0.324504,0.035597,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.314078,0.004616,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.245663,0.044009,6529,"/usr/include/c++/8/bits/move.h"
0.242516,0.005881,4801,"/usr/include/c++/8/exception"
0.229414,0.005787,5646,"/usr/include/c++/8/bits/localefwd.h"
0.223525,0.196773,69181,"/usr/include/c++/8/limits"
0.211690,0.018678,6509,"/usr/include/c++/8/cwchar"
0.206807,0.029614,21004,"/usr/include/c++/8/string_view"
0.205290,0.007814,7569,"/usr/include/c++/8/bits/allocator.h"
0.199419,0.002904,3509,"/usr/include/c++/8/ext/atomicity.h"
0.168876,0.001576,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.167300,0.021991,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.145315,0.005775,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.145309,0.034836,41269,"/usr/include/pthread.h"
0.120501,0.022967,11522,"/usr/include/c++/8/system_error"
0.119521,0.000957,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.118564,0.005272,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.116716,0.008416,8208,"/usr/include/c++/8/bits/postypes.h"
0.115472,0.009592,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.114788,0.004788,4439,"/usr/include/c++/8/cstdio"
0.113806,0.066315,31111,"/usr/include/wchar.h"
0.111205,0.094029,15541,"/usr/include/features.h"
0.105945,0.001873,2409,"/usr/include/c++/8/cctype"
0.100302,0.026326,19886,"/usr/include/c++/8/ratio"
0.093075,0.067318,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.085720,0.007405,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.079923,0.023594,29665,"/usr/include/stdio.h"
0.076624,0.003633,3657,"/usr/include/c++/8/bits/invoke.h"
0.075367,0.016019,10963,"/usr/include/ctype.h"
0.070524,0.001774,1770,"/usr/include/c++/8/cerrno"
0.067666,0.058480,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.067366,0.006680,6325,"/usr/include/c++/8/cstdlib"
0.066902,0.040188,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.064337,0.063650,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.060773,0.060773,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.060525,0.053040,41745,"/usr/include/c++/8/bits/stl_function.h"
0.058994,0.003530,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.058453,0.004448,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
