"Total seconds","Self seconds","File size","File path"
0.486701,0.004781,5224,"/usr/include/c++/8/numeric"
0.303692,0.277464,87482,"/usr/include/c++/8/type_traits"
0.172058,0.144833,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.168674,0.011505,13832,"/usr/include/c++/8/bits/stl_numeric.h"
0.160603,0.005309,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.124629,0.008432,6529,"/usr/include/c++/8/bits/move.h"
0.029472,0.002930,3423,"/usr/include/c++/8/bits/concept_check.h"
0.026857,0.001102,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025755,0.009937,15541,"/usr/include/features.h"
0.014522,0.013798,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.004222,0.003063,5221,"/usr/include/c++/8/debug/debug.h"
0.001159,0.001159,2411,"/usr/include/c++/8/debug/assertions.h"
0.000846,0.000846,2363,"/usr/include/stdc-predef.h"
0.000485,0.000485,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000450,0.000450,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000368,0.000368,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000239,0.000239,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
