"Total seconds","Self seconds","File size","File path"
3.205402,0.056514,43952,"/usr/include/c++/8/optional"
2.551305,0.007273,7975,"/usr/include/c++/8/stdexcept"
2.308338,0.002878,1940,"/usr/include/c++/8/string"
1.013406,0.983471,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.929718,0.183453,242567,"/usr/include/c++/8/bits/basic_string.h"
0.663425,0.041504,20813,"/usr/include/c++/8/bits/char_traits.h"
0.612515,0.584269,87482,"/usr/include/c++/8/type_traits"
0.505688,0.013509,12303,"/usr/include/c++/8/utility"
0.449875,0.073378,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.318837,0.035747,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.296602,0.004528,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.237708,0.005137,4801,"/usr/include/c++/8/exception"
0.234886,0.035954,6529,"/usr/include/c++/8/bits/move.h"
0.225824,0.006150,5646,"/usr/include/c++/8/bits/localefwd.h"
0.215132,0.025428,21004,"/usr/include/c++/8/string_view"
0.209816,0.018429,6509,"/usr/include/c++/8/cwchar"
0.199817,0.007556,7569,"/usr/include/c++/8/bits/allocator.h"
0.193051,0.002860,3509,"/usr/include/c++/8/ext/atomicity.h"
0.162780,0.001616,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.161164,0.021562,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.142815,0.116260,69181,"/usr/include/c++/8/limits"
0.141124,0.005738,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.139602,0.030682,41269,"/usr/include/pthread.h"
0.122892,0.010283,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.115280,0.008369,8208,"/usr/include/c++/8/bits/postypes.h"
0.115279,0.000952,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.114327,0.005249,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.113256,0.066779,31111,"/usr/include/wchar.h"
0.110148,0.093130,15541,"/usr/include/features.h"
0.107689,0.004682,4439,"/usr/include/c++/8/cstdio"
0.101492,0.001975,2409,"/usr/include/c++/8/cctype"
0.087010,0.062178,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.076943,0.022514,29665,"/usr/include/stdio.h"
0.072866,0.016559,10963,"/usr/include/ctype.h"
0.068671,0.068007,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.066781,0.040139,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.063353,0.054240,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.060237,0.006459,6325,"/usr/include/c++/8/cstdlib"
0.060020,0.060020,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.059519,0.051978,41745,"/usr/include/c++/8/bits/stl_function.h"
0.057973,0.003471,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.052696,0.002986,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.051035,0.008722,10360,"/usr/include/time.h"
0.049710,0.001056,1905,"/usr/include/c++/8/clocale"
0.049272,0.015299,5914,"/usr/include/c++/8/ext/type_traits.h"
0.043787,0.012151,6918,"/usr/include/c++/8/iosfwd"
0.041847,0.000828,1770,"/usr/include/c++/8/cerrno"
0.039124,0.003972,4732,"/usr/include/sched.h"
0.038865,0.001625,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.036859,0.002126,2167,"/usr/include/c++/8/cstdint"
0.036563,0.004205,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.035216,0.006258,7521,"/usr/include/c++/8/new"
0.035065,0.005093,3189,"/usr/include/endian.h"
0.034523,0.005215,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.034412,0.007229,3254,"/usr/include/c++/8/bits/functexcept.h"
0.033927,0.005043,7692,"/usr/include/c++/8/typeinfo"
0.033066,0.004354,3423,"/usr/include/c++/8/bits/concept_check.h"
0.031262,0.015825,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.029534,0.001231,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.029282,0.002772,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.028985,0.002183,2280,"/usr/include/c++/8/bits/exception.h"
0.028712,0.001737,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.028642,0.002367,2974,"/usr/include/c++/8/initializer_list"
0.028202,0.002650,3290,"/usr/include/c++/8/bits/std_abs.h"
0.026751,0.014887,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.025598,0.018150,20066,"/usr/include/c++/8/bits/alloc_traits.h"
