"Total seconds","Self seconds","File size","File path"
0.239531,0.028566,19886,"/usr/include/c++/8/ratio"
0.174006,0.105496,87482,"/usr/include/c++/8/type_traits"
0.095519,0.066831,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.036959,0.002061,2167,"/usr/include/c++/8/cstdint"
0.028325,0.001134,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.027191,0.010757,15541,"/usr/include/features.h"
0.015109,0.014425,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007889,0.000433,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007456,0.007456,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.000877,0.000877,2363,"/usr/include/stdc-predef.h"
0.000475,0.000475,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000448,0.000448,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000363,0.000363,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000209,0.000209,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
