"Total seconds","Self seconds","File size","File path"
7.640244,0.003332,1894,"/usr/include/c++/8/regex"
1.837478,0.001336,2518,"/usr/include/c++/8/algorithm"
1.816149,0.062393,45910,"/usr/include/c++/8/bitset"
1.745393,0.005302,1940,"/usr/include/c++/8/string"
1.393967,1.366375,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.244506,1.216923,87482,"/usr/include/c++/8/type_traits"
0.933453,0.198570,214249,"/usr/include/c++/8/bits/stl_algo.h"
0.851882,0.001973,2644,"/usr/include/c++/8/iterator"
0.846231,0.001411,1488,"/usr/include/c++/8/locale"
0.835441,0.005192,4711,"/usr/include/c++/8/memory"
0.775267,0.162760,242567,"/usr/include/c++/8/bits/basic_string.h"
0.708521,0.036615,21977,"/usr/include/c++/8/ostream"
0.668790,0.297744,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.653674,0.001827,1601,"/usr/include/c++/8/ios"
0.606133,0.019593,16097,"/usr/include/c++/8/bits/locale_conv.h"
0.574251,0.049169,26022,"/usr/include/c++/8/bits/unique_ptr.h"
0.545624,0.071395,12303,"/usr/include/c++/8/utility"
0.539933,0.001551,2559,"/usr/include/c++/8/map"
0.402476,0.142562,60312,"/usr/include/c++/8/tuple"
0.400877,0.115366,74669,"/usr/include/c++/8/bits/stl_tree.h"
0.391397,0.023099,23354,"/usr/include/c++/8/bits/shared_ptr.h"
0.368298,0.065199,54207,"/usr/include/c++/8/bits/shared_ptr_base.h"
0.355572,0.010711,8344,"/usr/include/c++/8/bits/stl_tempbuf.h"
0.350341,0.010353,16074,"/usr/include/c++/8/bits/basic_ios.h"
0.345306,0.104853,92328,"/usr/include/c++/8/bits/locale_facets.h"
0.325319,0.017543,7397,"/usr/include/c++/8/bits/stl_construct.h"
0.323716,0.048444,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.291199,0.283087,41745,"/usr/include/c++/8/bits/stl_function.h"
0.289455,0.057327,20813,"/usr/include/c++/8/bits/char_traits.h"
0.280280,0.004657,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.246311,0.010993,7521,"/usr/include/c++/8/new"
0.245586,0.054663,6529,"/usr/include/c++/8/bits/move.h"
0.245273,0.002087,2747,"/usr/include/c++/8/vector"
0.242195,0.027219,5646,"/usr/include/c++/8/bits/localefwd.h"
0.232127,0.033303,7569,"/usr/include/c++/8/bits/allocator.h"
0.226719,0.069466,30997,"/usr/include/c++/8/bits/ios_base.h"
0.219937,0.001013,2391,"/usr/include/c++/8/stack"
0.216914,0.018398,6509,"/usr/include/c++/8/cwchar"
0.214954,0.009881,10081,"/usr/include/c++/8/bits/uniform_int_dist.h"
0.208346,0.003234,4801,"/usr/include/c++/8/exception"
0.201335,0.001841,2665,"/usr/include/c++/8/deque"
0.200853,0.008656,3509,"/usr/include/c++/8/ext/atomicity.h"
0.195016,0.008850,8216,"/usr/include/c++/8/bits/node_handle.h"
0.180357,0.045364,68980,"/usr/include/c++/8/bits/locale_facets_nonio.h"
0.177698,0.148667,69181,"/usr/include/c++/8/limits"
0.169900,0.060732,43952,"/usr/include/c++/8/optional"
0.164356,0.001448,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.162908,0.021937,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.149833,0.066463,27649,"/usr/include/c++/8/bits/stl_uninitialized.h"
0.140971,0.031697,41269,"/usr/include/pthread.h"
0.136174,0.003365,2409,"/usr/include/c++/8/cctype"
0.135014,0.119210,15541,"/usr/include/features.h"
0.127049,0.057136,30017,"/usr/include/c++/8/streambuf"
0.126313,0.030117,21004,"/usr/include/c++/8/string_view"
0.123711,0.020884,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.117752,0.008184,8208,"/usr/include/c++/8/bits/postypes.h"
0.116050,0.014517,11522,"/usr/include/c++/8/system_error"
0.114359,0.000963,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.114319,0.068223,31111,"/usr/include/wchar.h"
0.113985,0.088510,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.113396,0.005118,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.111669,0.005918,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.110677,0.004868,4439,"/usr/include/c++/8/cstdio"
0.103137,0.017640,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.100880,0.044640,52791,"/usr/include/c++/8/bits/stl_map.h"
0.098984,0.072383,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.097264,0.002943,3293,"/usr/include/c++/8/bits/allocated_ptr.h"
0.096366,0.011255,6325,"/usr/include/c++/8/cstdlib"
0.095950,0.073576,97402,"/usr/include/c++/8/bits/regex.h"
0.093841,0.052635,11884,"/usr/include/c++/8/bits/refwrap.h"
0.093352,0.035936,32843,"/usr/include/c++/8/istream"
0.091679,0.084590,60574,"/usr/include/c++/8/bits/stl_vector.h"
0.089317,0.008875,3657,"/usr/include/c++/8/bits/invoke.h"
0.088072,0.078275,78575,"/usr/include/c++/8/bits/stl_deque.h"
0.083470,0.007640,3972,"/usr/include/c++/8/ext/aligned_buffer.h"
0.081810,0.002797,3123,"/usr/include/c++/8/cstring"
0.080061,0.023203,29665,"/usr/include/stdio.h"
0.080044,0.043235,33728,"/usr/include/c++/8/bits/stl_bvector.h"
0.079199,0.023971,10963,"/usr/include/ctype.h"
0.078149,0.043332,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.077398,0.077398,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.071831,0.015652,11657,"/usr/include/c++/8/array"
0.071202,0.001791,1770,"/usr/include/c++/8/cerrno"
0.070602,0.061611,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.069859,0.012722,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.068842,0.024265,21736,"/usr/include/c++/8/bits/algorithmfwd.h"
0.067531,0.009350,9769,"/usr/include/c++/8/bits/shared_ptr_atomic.h"
0.067012,0.021696,23260,"/usr/include/c++/8/bits/std_function.h"
0.066625,0.002466,2793,"/usr/include/c++/8/cwctype"
0.064517,0.033092,6918,"/usr/include/c++/8/iosfwd"
0.063207,0.062512,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.062681,0.028491,5914,"/usr/include/c++/8/ext/type_traits.h"
0.062575,0.047026,24897,"/usr/include/c++/8/bits/locale_classes.h"
0.062538,0.062538,45280,"/usr/include/c++/8/bits/locale_facets_nonio.tcc"
0.058586,0.004640,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
0.058181,0.030718,23842,"/usr/include/c++/8/bits/atomic_base.h"
0.056520,0.021589,26871,"/usr/include/c++/8/sstream"
0.056474,0.014182,10360,"/usr/include/time.h"
0.054896,0.054896,39513,"/usr/include/c++/8/bits/locale_facets.tcc"
0.052899,0.015898,17545,"/usr/include/string.h"
0.051826,0.002905,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.049090,0.034066,13758,"/usr/include/c++/8/bits/streambuf_iterator.h"
0.048921,0.001033,1905,"/usr/include/c++/8/clocale"
0.047447,0.047447,34122,"/usr/include/c++/8/bits/deque.tcc"
0.046237,0.023143,17084,"/usr/include/c++/8/bits/regex_compiler.h"
0.046079,0.045395,31093,"/usr/include/c++/8/bits/istream.tcc"
0.044883,0.016983,3254,"/usr/include/c++/8/bits/functexcept.h"
0.044393,0.044393,10030,"/usr/include/c++/8/bits/range_access.h"
0.043210,0.042429,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.039918,0.039918,29644,"/usr/include/c++/8/bits/vector.tcc"
0.039352,0.003952,4732,"/usr/include/sched.h"
0.038820,0.001660,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.037950,0.010079,3423,"/usr/include/c++/8/bits/concept_check.h"
0.037668,0.003439,2167,"/usr/include/c++/8/cstdint"
0.036211,0.006756,3189,"/usr/include/endian.h"
0.035744,0.003889,5548,"/usr/include/wctype.h"
0.035431,0.004565,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.035129,0.006992,10804,"/usr/include/c++/8/backward/auto_ptr.h"
0.034634,0.005247,7692,"/usr/include/c++/8/typeinfo"
0.034275,0.001472,2125,"/usr/include/c++/8/ctime"
0.032426,0.016133,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031563,0.004558,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.031022,0.031022,21289,"/usr/include/c++/8/bits/codecvt.h"
0.030822,0.029643,41557,"/usr/include/c++/8/bits/stl_multimap.h"
0.030599,0.006247,7488,"/usr/include/c++/8/bits/regex_executor.h"
0.029817,0.017036,20206,"/usr/include/c++/8/bits/stl_heap.h"
0.029722,0.002788,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.029698,0.002878,3290,"/usr/include/c++/8/bits/std_abs.h"
0.029487,0.017697,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.029235,0.001851,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.029215,0.002367,2974,"/usr/include/c++/8/initializer_list"
0.029124,0.002273,2280,"/usr/include/c++/8/bits/exception.h"
