"Total seconds","Self seconds","File size","File path"
3.409868,0.023094,16221,"/usr/include/c++/8/scoped_allocator"
2.892393,0.081699,60312,"/usr/include/c++/8/tuple"
2.631107,0.015052,11657,"/usr/include/c++/8/array"
2.570782,0.006882,7975,"/usr/include/c++/8/stdexcept"
2.325731,0.002864,1940,"/usr/include/c++/8/string"
1.008351,0.981163,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.935479,0.183480,242567,"/usr/include/c++/8/bits/basic_string.h"
0.685071,0.657778,87482,"/usr/include/c++/8/type_traits"
0.665993,0.042229,20813,"/usr/include/c++/8/bits/char_traits.h"
0.501118,0.031565,12303,"/usr/include/c++/8/utility"
0.482081,0.106952,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.307992,0.034629,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.304511,0.004577,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.240215,0.005229,4801,"/usr/include/c++/8/exception"
0.229318,0.039838,6529,"/usr/include/c++/8/bits/move.h"
0.225946,0.005898,5646,"/usr/include/c++/8/bits/localefwd.h"
0.213422,0.018464,6509,"/usr/include/c++/8/cwchar"
0.208905,0.026685,21004,"/usr/include/c++/8/string_view"
0.208522,0.007937,7569,"/usr/include/c++/8/bits/allocator.h"
0.196579,0.002926,3509,"/usr/include/c++/8/ext/atomicity.h"
0.166449,0.001644,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.164805,0.021745,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.144563,0.005759,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.143060,0.032241,41269,"/usr/include/pthread.h"
0.133849,0.106864,69181,"/usr/include/c++/8/limits"
0.120111,0.008262,8208,"/usr/include/c++/8/bits/postypes.h"
0.118576,0.009371,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.117543,0.000959,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.116584,0.005178,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.114835,0.066604,31111,"/usr/include/wchar.h"
0.110664,0.004786,4439,"/usr/include/c++/8/cstdio"
0.109039,0.093343,15541,"/usr/include/features.h"
0.102088,0.001872,2409,"/usr/include/c++/8/cctype"
0.090192,0.064347,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.086882,0.007926,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.083633,0.003847,3657,"/usr/include/c++/8/bits/invoke.h"
0.079049,0.023294,29665,"/usr/include/stdio.h"
0.072844,0.016655,10963,"/usr/include/ctype.h"
0.067267,0.040958,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.066796,0.059247,41745,"/usr/include/c++/8/bits/stl_function.h"
0.064436,0.055376,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
