"Total seconds","Self seconds","File size","File path"
3.618891,0.001634,2559,"/usr/include/c++/8/set"
3.555750,0.112017,74669,"/usr/include/c++/8/bits/stl_tree.h"
2.076035,0.008859,8216,"/usr/include/c++/8/bits/node_handle.h"
2.051150,0.057958,43952,"/usr/include/c++/8/optional"
1.729184,0.007572,7975,"/usr/include/c++/8/stdexcept"
1.721612,0.003012,1940,"/usr/include/c++/8/string"
1.021202,0.994617,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.917111,0.188999,242567,"/usr/include/c++/8/bits/basic_string.h"
0.790889,0.109702,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.666613,0.639446,87482,"/usr/include/c++/8/type_traits"
0.470678,0.013088,7569,"/usr/include/c++/8/bits/allocator.h"
0.354757,0.000946,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.353811,0.005225,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.312732,0.045007,20813,"/usr/include/c++/8/bits/char_traits.h"
0.303989,0.034604,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.300395,0.004582,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.243038,0.010923,7521,"/usr/include/c++/8/new"
0.236422,0.006138,5646,"/usr/include/c++/8/bits/localefwd.h"
0.235691,0.021280,6509,"/usr/include/c++/8/cwchar"
0.224734,0.035383,6529,"/usr/include/c++/8/bits/move.h"
0.218754,0.026080,21004,"/usr/include/c++/8/string_view"
0.204869,0.003205,4801,"/usr/include/c++/8/exception"
0.198251,0.002909,3509,"/usr/include/c++/8/ext/atomicity.h"
0.170920,0.013724,12303,"/usr/include/c++/8/utility"
0.168153,0.001557,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.166596,0.022311,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.144432,0.117719,69181,"/usr/include/c++/8/limits"
0.144285,0.032396,41269,"/usr/include/pthread.h"
0.140452,0.011385,8208,"/usr/include/c++/8/bits/postypes.h"
0.130429,0.072100,31111,"/usr/include/wchar.h"
0.115365,0.099932,15541,"/usr/include/features.h"
0.112934,0.011437,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.112732,0.005696,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.107416,0.004821,4439,"/usr/include/c++/8/cstdio"
0.105511,0.002136,2409,"/usr/include/c++/8/cctype"
0.101784,0.094305,41745,"/usr/include/c++/8/bits/stl_function.h"
0.088582,0.063533,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.076705,0.022690,29665,"/usr/include/stdio.h"
0.075892,0.002917,3972,"/usr/include/c++/8/ext/aligned_buffer.h"
0.075695,0.017160,10963,"/usr/include/ctype.h"
0.075403,0.047376,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.071188,0.070529,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.065100,0.055582,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.063235,0.063235,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.063149,0.006493,6325,"/usr/include/c++/8/cstdlib"
0.058289,0.003209,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
