"Total seconds","Self seconds","File size","File path"
4.597133,0.018961,19409,"/usr/include/c++/8/shared_mutex"
4.509374,0.010865,8954,"/usr/include/c++/8/condition_variable"
2.833557,0.009805,9298,"/usr/include/c++/8/bits/std_mutex.h"
2.818499,0.014403,11522,"/usr/include/c++/8/system_error"
2.500754,0.011920,7975,"/usr/include/c++/8/stdexcept"
2.079664,0.003025,1940,"/usr/include/c++/8/string"
1.210147,1.183392,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
1.085553,1.058988,87482,"/usr/include/c++/8/type_traits"
0.787583,0.176378,242567,"/usr/include/c++/8/bits/basic_string.h"
0.646373,0.028197,26022,"/usr/include/c++/8/bits/unique_ptr.h"
0.630796,0.042819,20813,"/usr/include/c++/8/bits/char_traits.h"
0.595133,0.036370,29874,"/usr/include/c++/8/chrono"
0.591879,0.107765,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.411451,0.005484,4801,"/usr/include/c++/8/exception"
0.384009,0.026228,23354,"/usr/include/c++/8/bits/shared_ptr.h"
0.357781,0.065378,54207,"/usr/include/c++/8/bits/shared_ptr_base.h"
0.334143,0.087706,60312,"/usr/include/c++/8/tuple"
0.298239,0.009506,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.223180,0.195540,69181,"/usr/include/c++/8/limits"
0.215243,0.012901,7569,"/usr/include/c++/8/bits/allocator.h"
0.212635,0.015839,6918,"/usr/include/c++/8/iosfwd"
0.212117,0.018769,6509,"/usr/include/c++/8/cwchar"
0.196466,0.048620,6529,"/usr/include/c++/8/bits/move.h"
0.192138,0.026642,19886,"/usr/include/c++/8/ratio"
0.190385,0.004762,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.178229,0.005953,5646,"/usr/include/c++/8/bits/localefwd.h"
0.166056,0.158300,41745,"/usr/include/c++/8/bits/stl_function.h"
0.159838,0.006353,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.152196,0.031395,12303,"/usr/include/c++/8/utility"
0.148864,0.007174,3509,"/usr/include/c++/8/ext/atomicity.h"
0.123542,0.000985,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.122557,0.005321,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.122201,0.026298,21004,"/usr/include/c++/8/string_view"
0.121005,0.036168,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.120069,0.013037,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.116146,0.008238,8208,"/usr/include/c++/8/bits/postypes.h"
0.113572,0.001776,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.113198,0.004982,4439,"/usr/include/c++/8/cstdio"
0.112962,0.065540,31111,"/usr/include/wchar.h"
0.111796,0.021827,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.108334,0.092932,15541,"/usr/include/features.h"
0.097815,0.001496,2125,"/usr/include/c++/8/ctime"
0.094576,0.002951,3293,"/usr/include/c++/8/bits/allocated_ptr.h"
0.094547,0.007928,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.091499,0.065376,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.089969,0.032636,41269,"/usr/include/pthread.h"
0.089732,0.001857,2409,"/usr/include/c++/8/cctype"
0.086388,0.044600,11884,"/usr/include/c++/8/bits/refwrap.h"
0.081945,0.006268,3657,"/usr/include/c++/8/bits/invoke.h"
0.081283,0.025511,29665,"/usr/include/stdio.h"
0.080523,0.052063,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.078115,0.003106,3972,"/usr/include/c++/8/ext/aligned_buffer.h"
0.075852,0.014127,10360,"/usr/include/time.h"
0.075120,0.004664,5175,"/usr/include/x86_64-linux-gnu/c++/8/bits/error_constants.h"
0.072111,0.001761,1770,"/usr/include/c++/8/cerrno"
0.066775,0.066070,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.063389,0.013673,11657,"/usr/include/c++/8/array"
0.062927,0.006708,6325,"/usr/include/c++/8/cstdlib"
0.062127,0.053027,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.059679,0.059679,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.059402,0.011657,7944,"/usr/include/c++/8/bits/parse_numbers.h"
0.059360,0.016282,10963,"/usr/include/ctype.h"
0.058893,0.003573,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.056282,0.020538,5914,"/usr/include/c++/8/ext/type_traits.h"
0.051843,0.002950,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.050421,0.020301,10030,"/usr/include/c++/8/bits/range_access.h"
0.049460,0.042047,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.048893,0.001013,1905,"/usr/include/c++/8/clocale"
0.041889,0.007160,7521,"/usr/include/c++/8/new"
0.041662,0.006831,7692,"/usr/include/c++/8/typeinfo"
