"Total seconds","Self seconds","File size","File path"
1.799595,0.000863,2391,"/usr/include/c++/8/stack"
1.697133,0.001792,2665,"/usr/include/c++/8/deque"
0.736263,0.049710,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.679684,0.652563,87482,"/usr/include/c++/8/type_traits"
0.578519,0.551371,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.500674,0.007836,7569,"/usr/include/c++/8/bits/allocator.h"
0.383853,0.000960,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.382893,0.005240,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.311144,0.035874,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.274923,0.029964,27649,"/usr/include/c++/8/bits/stl_uninitialized.h"
0.268309,0.012011,7521,"/usr/include/c++/8/new"
0.231888,0.039927,6529,"/usr/include/c++/8/bits/move.h"
0.226954,0.003900,4801,"/usr/include/c++/8/exception"
0.167515,0.013702,12303,"/usr/include/c++/8/utility"
0.120499,0.006368,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.113146,0.009186,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.101599,0.009491,11938,"/usr/include/c++/8/bits/stl_stack.h"
0.088841,0.007419,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.079065,0.069663,78575,"/usr/include/c++/8/bits/stl_deque.h"
0.060707,0.036401,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.059383,0.032217,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.050459,0.050459,34122,"/usr/include/c++/8/bits/deque.tcc"
0.049263,0.014942,5914,"/usr/include/c++/8/ext/type_traits.h"
0.045079,0.005839,7397,"/usr/include/c++/8/bits/stl_construct.h"
0.042251,0.001817,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.039465,0.004705,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.037014,0.005569,7692,"/usr/include/c++/8/typeinfo"
0.035491,0.005213,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.033804,0.006384,3423,"/usr/include/c++/8/bits/concept_check.h"
0.031941,0.004102,3254,"/usr/include/c++/8/bits/functexcept.h"
0.031789,0.002473,2280,"/usr/include/c++/8/bits/exception.h"
0.030449,0.001125,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.029867,0.002488,2974,"/usr/include/c++/8/initializer_list"
0.029462,0.002006,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.026776,0.001113,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026457,0.018880,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.025663,0.009814,15541,"/usr/include/features.h"
0.021770,0.009990,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.014548,0.013807,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013365,0.009684,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.010849,0.008580,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.010755,0.010755,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.010506,0.010506,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.008878,0.008878,10030,"/usr/include/c++/8/bits/range_access.h"
0.005952,0.005052,5221,"/usr/include/c++/8/debug/debug.h"
0.002994,0.002994,2411,"/usr/include/c++/8/debug/assertions.h"
0.002060,0.002060,4594,"/usr/include/c++/8/bits/stl_relops.h"
0.001488,0.001488,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000848,0.000848,2363,"/usr/include/stdc-predef.h"
0.000478,0.000478,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000453,0.000453,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000372,0.000372,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000263,0.000263,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
