"Total seconds","Self seconds","File size","File path"
2.866354,0.006986,7975,"/usr/include/c++/8/stdexcept"
2.398369,0.002968,1940,"/usr/include/c++/8/string"
0.970129,0.943571,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.912020,0.174691,242567,"/usr/include/c++/8/bits/basic_string.h"
0.744587,0.041414,20813,"/usr/include/c++/8/bits/char_traits.h"
0.530167,0.074003,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.463030,0.005069,4801,"/usr/include/c++/8/exception"
0.447401,0.420391,87482,"/usr/include/c++/8/type_traits"
0.299534,0.004532,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.225056,0.004269,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.220532,0.005947,5646,"/usr/include/c++/8/bits/localefwd.h"
0.216824,0.031876,6529,"/usr/include/c++/8/bits/move.h"
0.212956,0.018427,6509,"/usr/include/c++/8/cwchar"
0.206652,0.008099,7569,"/usr/include/c++/8/bits/allocator.h"
0.203837,0.025273,21004,"/usr/include/c++/8/string_view"
0.192976,0.002809,3509,"/usr/include/c++/8/ext/atomicity.h"
0.163267,0.001623,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.161644,0.021729,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.139961,0.005575,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.139915,0.030754,41269,"/usr/include/pthread.h"
0.131602,0.105134,69181,"/usr/include/c++/8/limits"
0.118828,0.008045,8208,"/usr/include/c++/8/bits/postypes.h"
0.115655,0.009344,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.115517,0.000965,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.114712,0.066692,31111,"/usr/include/wchar.h"
0.114552,0.005089,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.108694,0.093239,15541,"/usr/include/features.h"
0.108179,0.004724,4439,"/usr/include/c++/8/cstdio"
0.103573,0.022016,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.100315,0.001793,2409,"/usr/include/c++/8/cctype"
0.088869,0.063071,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.077008,0.022550,29665,"/usr/include/stdio.h"
0.072039,0.016306,10963,"/usr/include/ctype.h"
0.065348,0.039375,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.065296,0.057903,41745,"/usr/include/c++/8/bits/stl_function.h"
0.062088,0.053084,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.061905,0.061239,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.061671,0.006566,6325,"/usr/include/c++/8/cstdlib"
0.060087,0.060087,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.058243,0.003388,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.051675,0.002860,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.049813,0.008356,10360,"/usr/include/time.h"
0.048847,0.015248,5914,"/usr/include/c++/8/ext/type_traits.h"
0.048815,0.001026,1905,"/usr/include/c++/8/clocale"
0.043093,0.011791,6918,"/usr/include/c++/8/iosfwd"
0.042252,0.013986,10030,"/usr/include/c++/8/bits/range_access.h"
0.041888,0.000833,1770,"/usr/include/c++/8/cerrno"
0.040347,0.004083,4732,"/usr/include/sched.h"
0.038162,0.001594,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.036827,0.002125,2167,"/usr/include/c++/8/cstdint"
0.035141,0.006204,7521,"/usr/include/c++/8/new"
0.034984,0.005067,3189,"/usr/include/endian.h"
0.034043,0.005104,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.033501,0.004898,7692,"/usr/include/c++/8/typeinfo"
0.032008,0.005577,3254,"/usr/include/c++/8/bits/functexcept.h"
0.031245,0.015840,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.030812,0.002861,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.030670,0.004101,3423,"/usr/include/c++/8/bits/concept_check.h"
0.028897,0.002694,3290,"/usr/include/c++/8/bits/std_abs.h"
0.028596,0.002151,2280,"/usr/include/c++/8/bits/exception.h"
0.028459,0.001731,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.028266,0.002362,2974,"/usr/include/c++/8/initializer_list"
0.026846,0.015121,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.026200,0.001100,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025737,0.002777,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.025255,0.017802,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.021331,0.005213,7674,"/usr/include/locale.h"
0.018705,0.006854,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.018009,0.017285,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.016617,0.009896,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015432,0.002855,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014936,0.001117,1832,"/usr/include/errno.h"
0.014535,0.010785,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.014191,0.013476,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013669,0.001781,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.011230,0.008942,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.010977,0.010977,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.009107,0.002506,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008194,0.003913,4002,"/usr/include/c++/8/bits/ostream_insert.h"
0.008118,0.000435,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007732,0.000817,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007683,0.007683,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.007593,0.007593,6698,"/usr/include/c++/8/bits/string_view.tcc"
0.006915,0.000145,23,"/usr/include/linux/errno.h"
0.006770,0.000160,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006610,0.004934,5648,"/usr/include/asm-generic/errno.h"
0.006601,0.003471,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.006550,0.006550,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006352,0.006352,4072,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdarg.h"
0.006063,0.005168,5221,"/usr/include/c++/8/debug/debug.h"
0.005379,0.001817,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.005045,0.001278,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004549,0.000940,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.004526,0.000565,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
