"Total seconds","Self seconds","File size","File path"
3.373044,0.097719,60312,"/usr/include/c++/8/tuple"
2.613935,0.013841,11657,"/usr/include/c++/8/array"
2.553798,0.007342,7975,"/usr/include/c++/8/stdexcept"
2.311330,0.002909,1940,"/usr/include/c++/8/string"
1.011472,0.983192,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.927633,0.173013,242567,"/usr/include/c++/8/bits/basic_string.h"
0.679023,0.652024,87482,"/usr/include/c++/8/type_traits"
0.662218,0.041467,20813,"/usr/include/c++/8/bits/char_traits.h"
0.499848,0.022686,12303,"/usr/include/c++/8/utility"
0.484818,0.111575,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.309722,0.004576,3597,"/usr/include/c++/8/ext/string_conversions.h"
0.309052,0.035291,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.237168,0.005205,4801,"/usr/include/c++/8/exception"
0.232614,0.040031,6529,"/usr/include/c++/8/bits/move.h"
0.219786,0.005823,5646,"/usr/include/c++/8/bits/localefwd.h"
0.215863,0.018543,6509,"/usr/include/c++/8/cwchar"
0.205576,0.007711,7569,"/usr/include/c++/8/bits/allocator.h"
0.202071,0.025977,21004,"/usr/include/c++/8/string_view"
0.196144,0.002883,3509,"/usr/include/c++/8/ext/atomicity.h"
0.165459,0.001587,5608,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr.h"
0.163872,0.021556,24237,"/usr/include/x86_64-linux-gnu/c++/8/bits/gthr-default.h"
0.142316,0.031513,41269,"/usr/include/pthread.h"
0.142000,0.005743,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.128423,0.101873,69181,"/usr/include/c++/8/limits"
0.120512,0.000969,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.119543,0.005325,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.117591,0.069566,31111,"/usr/include/wchar.h"
0.116891,0.008281,8208,"/usr/include/c++/8/bits/postypes.h"
0.114262,0.009504,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.110896,0.004909,4439,"/usr/include/c++/8/cstdio"
0.109650,0.093425,15541,"/usr/include/features.h"
0.099748,0.001862,2409,"/usr/include/c++/8/cctype"
0.093454,0.068086,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.091513,0.007441,6383,"/usr/include/c++/8/bits/uses_allocator.h"
0.080113,0.023293,29665,"/usr/include/stdio.h"
0.079179,0.003678,3657,"/usr/include/c++/8/bits/invoke.h"
0.071510,0.016441,10963,"/usr/include/ctype.h"
0.067134,0.039935,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.066897,0.066206,53755,"/usr/include/c++/8/bits/basic_string.tcc"
0.064075,0.055214,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.062341,0.006693,6325,"/usr/include/c++/8/cstdlib"
0.061487,0.053878,41745,"/usr/include/c++/8/bits/stl_function.h"
0.061424,0.061424,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.058801,0.003574,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.051523,0.008656,10360,"/usr/include/time.h"
0.051522,0.015378,5914,"/usr/include/c++/8/ext/type_traits.h"
0.051468,0.002949,3307,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++locale.h"
0.048519,0.001033,1905,"/usr/include/c++/8/clocale"
0.043297,0.012145,6918,"/usr/include/c++/8/iosfwd"
0.042958,0.000878,1770,"/usr/include/c++/8/cerrno"
0.040081,0.004022,4732,"/usr/include/sched.h"
0.038979,0.005212,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.038738,0.001660,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.036177,0.002062,2167,"/usr/include/c++/8/cstdint"
0.035616,0.006342,7521,"/usr/include/c++/8/new"
0.034754,0.004273,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.034500,0.004983,3189,"/usr/include/endian.h"
0.033827,0.005067,7692,"/usr/include/c++/8/typeinfo"
0.033300,0.005796,3254,"/usr/include/c++/8/bits/functexcept.h"
0.032428,0.016293,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031544,0.002548,2974,"/usr/include/c++/8/initializer_list"
0.030814,0.004117,3423,"/usr/include/c++/8/bits/concept_check.h"
0.030036,0.022483,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.030004,0.002871,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.029239,0.002256,2280,"/usr/include/c++/8/bits/exception.h"
0.029231,0.002725,3290,"/usr/include/c++/8/bits/std_abs.h"
0.028584,0.001750,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.027896,0.001170,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026791,0.015036,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.025704,0.002788,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.021290,0.005225,7674,"/usr/include/locale.h"
0.020699,0.020699,10030,"/usr/include/c++/8/bits/range_access.h"
0.019555,0.018839,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.018062,0.006645,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.016486,0.009811,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015945,0.001270,1832,"/usr/include/errno.h"
0.015858,0.002872,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014865,0.014136,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.014258,0.001838,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.013762,0.009955,6394,"/usr/include/c++/8/bits/ptr_traits.h"
