"Total seconds","Self seconds","File size","File path"
0.162349,0.096716,87482,"/usr/include/c++/8/type_traits"
0.065633,0.038924,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.026346,0.001085,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.025261,0.009769,15541,"/usr/include/features.h"
0.014221,0.013518,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000826,0.000826,2363,"/usr/include/stdc-predef.h"
0.000473,0.000473,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000445,0.000445,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000363,0.000363,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000230,0.000230,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
