"Total seconds","Self seconds","File size","File path"
0.103877,0.004824,7692,"/usr/include/c++/8/typeinfo"
0.096854,0.069177,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.068362,0.001187,2280,"/usr/include/c++/8/bits/exception.h"
0.030691,0.001012,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.027306,0.001138,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026168,0.010222,15541,"/usr/include/features.h"
0.014642,0.013920,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000846,0.000846,2363,"/usr/include/stdc-predef.h"
0.000489,0.000489,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000458,0.000458,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000371,0.000371,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000233,0.000233,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
