"Total seconds","Self seconds","File size","File path"
0.489271,0.016159,12303,"/usr/include/c++/8/utility"
0.289426,0.263671,87482,"/usr/include/c++/8/type_traits"
0.280943,0.020767,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.190049,0.009957,6529,"/usr/include/c++/8/bits/move.h"
0.172341,0.146520,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.035284,0.002882,2974,"/usr/include/c++/8/initializer_list"
0.027397,0.001697,3423,"/usr/include/c++/8/bits/concept_check.h"
0.025470,0.001056,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.024414,0.009439,15541,"/usr/include/features.h"
0.013721,0.013039,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.001797,0.001797,4594,"/usr/include/c++/8/bits/stl_relops.h"
0.000825,0.000825,2363,"/usr/include/stdc-predef.h"
0.000455,0.000455,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000429,0.000429,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000351,0.000351,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000227,0.000227,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
