"Total seconds","Self seconds","File size","File path"
1.535138,0.078714,47881,"/usr/include/c++/8/variant"
0.634834,0.568342,87482,"/usr/include/c++/8/type_traits"
0.542090,0.514430,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.395705,0.006090,7397,"/usr/include/c++/8/bits/stl_construct.h"
0.391032,0.013423,12303,"/usr/include/c++/8/utility"
0.242349,0.022837,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.232365,0.011492,7521,"/usr/include/c++/8/new"
0.190616,0.003380,4801,"/usr/include/c++/8/exception"
0.159451,0.028862,6529,"/usr/include/c++/8/bits/move.h"
0.158469,0.005195,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.149471,0.018301,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.134761,0.012114,7944,"/usr/include/c++/8/bits/parse_numbers.h"
0.122647,0.096582,69181,"/usr/include/c++/8/limits"
0.114210,0.005823,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.091626,0.006033,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.091540,0.007495,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.083821,0.003903,3657,"/usr/include/c++/8/bits/invoke.h"
0.077544,0.003152,3972,"/usr/include/c++/8/ext/aligned_buffer.h"
0.049608,0.018107,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.042033,0.006877,5914,"/usr/include/c++/8/ext/type_traits.h"
0.041436,0.001763,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.038664,0.011705,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.036604,0.004551,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.031213,0.002359,2280,"/usr/include/c++/8/bits/exception.h"
0.030362,0.003738,3423,"/usr/include/c++/8/bits/concept_check.h"
0.029591,0.001227,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.029194,0.002378,3254,"/usr/include/c++/8/bits/functexcept.h"
0.028216,0.002358,2974,"/usr/include/c++/8/initializer_list"
0.027744,0.001778,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.027286,0.001129,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026157,0.010263,15541,"/usr/include/features.h"
0.014488,0.013773,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.010683,0.010683,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.010088,0.010088,12387,"/usr/include/c++/8/bits/enable_special_members.h"
0.010039,0.006109,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.009531,0.006124,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.007177,0.005439,7692,"/usr/include/c++/8/typeinfo"
0.003130,0.003130,4594,"/usr/include/c++/8/bits/stl_relops.h"
0.001482,0.001482,2411,"/usr/include/c++/8/debug/assertions.h"
0.001414,0.001414,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000950,0.000950,2363,"/usr/include/stdc-predef.h"
0.000480,0.000480,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000456,0.000456,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000374,0.000374,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000235,0.000235,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
