"Total seconds","Self seconds","File size","File path"
1.746905,0.002380,2747,"/usr/include/c++/8/vector"
0.764029,0.044819,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.603174,0.575591,87482,"/usr/include/c++/8/type_traits"
0.565673,0.537217,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.473797,0.007604,7569,"/usr/include/c++/8/bits/allocator.h"
0.363844,0.000987,1979,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++allocator.h"
0.362857,0.005072,4805,"/usr/include/c++/8/ext/new_allocator.h"
0.317683,0.040561,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.272038,0.029660,27649,"/usr/include/c++/8/bits/stl_uninitialized.h"
0.251245,0.011180,7521,"/usr/include/c++/8/new"
0.228741,0.038420,6529,"/usr/include/c++/8/bits/move.h"
0.211999,0.003339,4801,"/usr/include/c++/8/exception"
0.165379,0.013495,12303,"/usr/include/c++/8/utility"
0.121738,0.006103,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.113644,0.005940,5981,"/usr/include/c++/8/bits/exception_ptr.h"
0.088651,0.081446,60574,"/usr/include/c++/8/bits/stl_vector.h"
0.087388,0.042450,33728,"/usr/include/c++/8/bits/stl_bvector.h"
0.067991,0.041403,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.062265,0.035224,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.049954,0.015377,5914,"/usr/include/c++/8/ext/type_traits.h"
0.042573,0.005593,7397,"/usr/include/c++/8/bits/stl_construct.h"
0.040013,0.001765,2220,"/usr/include/c++/8/bits/cxxabi_init_exception.h"
0.039624,0.039624,29644,"/usr/include/c++/8/bits/vector.tcc"
0.038428,0.004520,4802,"/usr/include/c++/8/bits/nested_exception.h"
0.034900,0.005304,7692,"/usr/include/c++/8/typeinfo"
0.034160,0.005685,3254,"/usr/include/c++/8/bits/functexcept.h"
0.033342,0.005031,5702,"/usr/include/c++/8/ext/alloc_traits.h"
0.032752,0.005366,3423,"/usr/include/c++/8/bits/concept_check.h"
0.029886,0.002290,2280,"/usr/include/c++/8/bits/exception.h"
0.029357,0.001768,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.029315,0.002446,2974,"/usr/include/c++/8/initializer_list"
0.028593,0.001966,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.028075,0.001149,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.026926,0.010604,15541,"/usr/include/features.h"
0.024722,0.017375,20066,"/usr/include/c++/8/bits/alloc_traits.h"
0.021308,0.009697,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.014942,0.014182,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.014040,0.010078,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.012914,0.012212,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.011915,0.009421,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.011474,0.011474,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.010276,0.010276,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.008449,0.008449,10030,"/usr/include/c++/8/bits/range_access.h"
0.004177,0.003213,5221,"/usr/include/c++/8/debug/debug.h"
0.003130,0.003130,2411,"/usr/include/c++/8/debug/assertions.h"
0.002064,0.002064,4594,"/usr/include/c++/8/bits/stl_relops.h"
0.001434,0.001434,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000915,0.000915,2363,"/usr/include/stdc-predef.h"
0.000497,0.000497,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000465,0.000465,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000381,0.000381,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000263,0.000263,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
