"Total seconds","Self seconds","File size","File path"
0.357111,0.055925,43609,"/usr/include/c++/9/atomic"
0.190325,0.005742,6529,"/usr/include/c++/9/bits/move.h"
0.158512,0.125586,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.125695,0.098959,90241,"/usr/include/c++/9/type_traits"
0.110861,0.027790,24992,"/usr/include/c++/9/bits/atomic_base.h"
0.028658,0.001658,3423,"/usr/include/c++/9/bits/concept_check.h"
0.026262,0.001067,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.025195,0.010233,15541,"/usr/include/features.h"
0.013692,0.012968,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007550,0.000405,328,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint.h"
0.007145,0.007145,9457,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint-gcc.h"
0.006320,0.006320,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000975,0.000975,2352,"/usr/include/c++/9/bits/atomic_lockfree_defines.h"
0.000850,0.000850,2363,"/usr/include/stdc-predef.h"
0.000447,0.000447,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000420,0.000420,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000344,0.000344,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000277,0.000277,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
