"Total seconds","Self seconds","File size","File path"
5.085496,0.000684,1335,"/usr/include/c++/9/ccomplex"
5.084812,0.093990,56510,"/usr/include/c++/9/complex"
3.466754,0.022107,28524,"/usr/include/c++/9/sstream"
3.422719,0.017423,32843,"/usr/include/c++/9/istream"
3.322598,0.001828,1601,"/usr/include/c++/9/ios"
2.139565,0.063621,31153,"/usr/include/c++/9/bits/ios_base.h"
1.762646,0.032180,24897,"/usr/include/c++/9/bits/locale_classes.h"
1.718914,0.009854,4645,"/usr/include/c++/9/string"
1.371891,0.058201,49094,"/usr/include/c++/9/cmath"
1.322392,1.287751,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.243980,0.032096,47051,"/usr/include/c++/9/bits/specfun.h"
0.878998,0.135831,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.759419,0.732218,90241,"/usr/include/c++/9/type_traits"
0.618946,0.201726,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.605171,0.176234,246994,"/usr/include/c++/9/bits/basic_string.h"
0.345011,0.009240,16074,"/usr/include/c++/9/bits/basic_ios.h"
0.315271,0.038394,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.299908,0.056679,92321,"/usr/include/c++/9/bits/locale_facets.h"
0.283867,0.004867,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.243707,0.216654,71808,"/usr/include/c++/9/limits"
0.238239,0.004990,4803,"/usr/include/c++/9/exception"
0.234708,0.042648,6529,"/usr/include/c++/9/bits/move.h"
0.225953,0.025520,6918,"/usr/include/c++/9/iosfwd"
0.214710,0.018673,6542,"/usr/include/c++/9/cwchar"
0.210655,0.028763,5941,"/usr/include/c++/9/bits/localefwd.h"
0.209831,0.008804,7943,"/usr/include/c++/9/bits/allocator.h"
0.194604,0.068306,24726,"/usr/include/c++/9/bits/char_traits.h"
0.192598,0.006803,3509,"/usr/include/c++/9/ext/atomicity.h"
0.166705,0.065579,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.157604,0.001713,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.155891,0.020988,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.153183,0.012764,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.141497,0.005725,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.135314,0.003252,2409,"/usr/include/c++/9/cctype"
0.134903,0.030155,41269,"/usr/include/pthread.h"
0.131644,0.029226,23020,"/usr/include/c++/9/string_view"
0.130511,0.020026,11670,"/usr/include/c++/9/system_error"
0.120853,0.000970,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.120034,0.048472,30017,"/usr/include/c++/9/streambuf"
0.119883,0.005974,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.116161,0.012783,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.115958,0.008772,8465,"/usr/include/c++/9/bits/postypes.h"
0.115245,0.009831,4439,"/usr/include/c++/9/cstdio"
0.115237,0.098822,15541,"/usr/include/features.h"
0.112407,0.065896,31111,"/usr/include/wchar.h"
0.103174,0.025339,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.095603,0.067707,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.084872,0.006657,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.077230,0.023393,29665,"/usr/include/stdio.h"
0.077146,0.023255,10963,"/usr/include/ctype.h"
0.073785,0.001892,1770,"/usr/include/c++/9/cerrno"
0.068412,0.059651,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.066567,0.010881,6325,"/usr/include/c++/9/cstdlib"
0.065834,0.031824,5914,"/usr/include/c++/9/ext/type_traits.h"
0.065665,0.064993,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.065113,0.002383,2793,"/usr/include/c++/9/cwctype"
0.062455,0.003541,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.062350,0.054655,42293,"/usr/include/c++/9/bits/stl_function.h"
0.062310,0.004622,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.054277,0.054277,39548,"/usr/include/c++/9/bits/locale_facets.tcc"
0.053993,0.053993,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.051882,0.002918,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.048964,0.001014,1905,"/usr/include/c++/9/clocale"
0.048635,0.008248,10360,"/usr/include/time.h"
0.048568,0.025432,22213,"/usr/include/c++/9/ostream"
0.047530,0.005938,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.045074,0.044418,31093,"/usr/include/c++/9/bits/istream.tcc"
0.044646,0.024885,13884,"/usr/include/c++/9/bits/streambuf_iterator.h"
0.041757,0.009428,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.037616,0.003840,4732,"/usr/include/sched.h"
0.037395,0.001608,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.037008,0.002178,2335,"/usr/include/c++/9/cstdint"
0.035921,0.006684,8010,"/usr/include/c++/9/new"
0.035339,0.006634,3189,"/usr/include/endian.h"
0.035248,0.004333,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.034686,0.003795,5548,"/usr/include/wctype.h"
0.034586,0.017344,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.034476,0.004945,7692,"/usr/include/c++/9/typeinfo"
0.033913,0.006070,3433,"/usr/include/c++/9/bits/functexcept.h"
0.032718,0.032718,27724,"/usr/include/c++/9/tr1/ell_integral.tcc"
0.032704,0.032704,28066,"/usr/include/c++/9/tr1/hypergeometric.tcc"
0.031900,0.004100,3423,"/usr/include/c++/9/bits/concept_check.h"
0.031233,0.016186,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
