"Total seconds","Self seconds","File size","File path"
0.630813,0.033619,29880,"/usr/include/c++/9/chrono"
0.251560,0.178396,90241,"/usr/include/c++/9/type_traits"
0.241446,0.027772,19836,"/usr/include/c++/9/ratio"
0.175298,0.148160,71808,"/usr/include/c++/9/limits"
0.154119,0.120794,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.095591,0.001691,2298,"/usr/include/c++/9/ctime"
0.067477,0.008197,10360,"/usr/include/time.h"
0.058330,0.009543,7944,"/usr/include/c++/9/bits/parse_numbers.h"
0.039042,0.030261,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.037628,0.022513,15541,"/usr/include/features.h"
0.037430,0.002246,2335,"/usr/include/c++/9/cstdint"
0.026349,0.001132,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.016929,0.001774,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.013816,0.013138,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007790,0.000435,328,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint.h"
0.007677,0.007677,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.007355,0.007355,9457,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint-gcc.h"
0.006623,0.006623,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.004250,0.000694,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004159,0.000832,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004099,0.000502,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.003929,0.000337,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.003697,0.000306,159,"/usr/include/x86_64-linux-gnu/bits/types/timer_t.h"
0.003666,0.000311,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.003659,0.000319,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
0.002208,0.002208,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001164,0.000437,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000940,0.000940,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000867,0.000867,2363,"/usr/include/stdc-predef.h"
0.000727,0.000727,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000432,0.000432,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000353,0.000353,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000222,0.000222,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
