"Total seconds","Self seconds","File size","File path"
3.794223,0.033902,5275,"/usr/include/c++/9/codecvt"
3.738770,0.018596,24897,"/usr/include/c++/9/bits/locale_classes.h"
3.269342,0.006966,4645,"/usr/include/c++/9/string"
1.085552,1.052657,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.015611,0.048611,24726,"/usr/include/c++/9/bits/char_traits.h"
0.935376,0.108635,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.818882,0.192741,246994,"/usr/include/c++/9/bits/basic_string.h"
0.738067,0.215826,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.694021,0.665814,90241,"/usr/include/c++/9/type_traits"
0.454737,0.008091,7943,"/usr/include/c++/9/bits/allocator.h"
0.444016,0.009534,5941,"/usr/include/c++/9/bits/localefwd.h"
0.369208,0.000948,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.368260,0.005832,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.316780,0.035040,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.283339,0.004686,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.255108,0.013650,8010,"/usr/include/c++/9/new"
0.238620,0.040982,6529,"/usr/include/c++/9/bits/move.h"
0.228195,0.010430,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.215714,0.018766,6542,"/usr/include/c++/9/cwchar"
0.214051,0.012242,6918,"/usr/include/c++/9/iosfwd"
0.213337,0.003190,4803,"/usr/include/c++/9/exception"
0.196109,0.167635,71808,"/usr/include/c++/9/limits"
0.194269,0.004779,3509,"/usr/include/c++/9/ext/atomicity.h"
0.169226,0.063262,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.160812,0.001603,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.159209,0.022021,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.139410,0.028742,23020,"/usr/include/c++/9/string_view"
0.137188,0.031455,41269,"/usr/include/pthread.h"
0.120324,0.013397,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.118539,0.008414,8465,"/usr/include/c++/9/bits/postypes.h"
0.116687,0.009150,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.113300,0.065179,31111,"/usr/include/wchar.h"
0.111387,0.005091,4439,"/usr/include/c++/9/cstdio"
0.107952,0.092605,15541,"/usr/include/features.h"
0.102052,0.025005,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.100629,0.001799,2409,"/usr/include/c++/9/cctype"
0.100423,0.011670,6325,"/usr/include/c++/9/cstdlib"
0.084543,0.006213,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.077483,0.022782,29665,"/usr/include/stdio.h"
0.073429,0.072744,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.071410,0.015983,10963,"/usr/include/ctype.h"
0.070563,0.042955,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.062355,0.053419,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.060802,0.051039,42293,"/usr/include/c++/9/bits/stl_function.h"
0.060552,0.003574,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.055073,0.055073,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.054476,0.002828,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.051648,0.001040,1905,"/usr/include/c++/9/clocale"
0.050470,0.015028,5914,"/usr/include/c++/9/ext/type_traits.h"
0.049806,0.008460,10360,"/usr/include/time.h"
0.046628,0.005870,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.045302,0.001032,1770,"/usr/include/c++/9/cerrno"
0.040853,0.009211,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.038017,0.001715,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.037957,0.002203,2335,"/usr/include/c++/9/cstdint"
0.037664,0.003915,4732,"/usr/include/sched.h"
0.035848,0.004496,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.035616,0.005190,7692,"/usr/include/c++/9/typeinfo"
0.034678,0.005874,3433,"/usr/include/c++/9/bits/functexcept.h"
0.034309,0.004927,3189,"/usr/include/endian.h"
0.032818,0.020012,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.032274,0.004118,3423,"/usr/include/c++/9/bits/concept_check.h"
0.032186,0.002945,3384,"/usr/include/c++/9/bits/std_abs.h"
0.031920,0.016119,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031452,0.003437,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.030961,0.002477,2974,"/usr/include/c++/9/initializer_list"
0.030710,0.002910,2483,"/usr/include/c++/9/bits/exception.h"
0.030016,0.001780,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.028065,0.020141,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.027274,0.015265,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.026927,0.002757,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
