"Total seconds","Self seconds","File size","File path"
0.090000,0.001025,1949,"/usr/include/c++/9/csetjmp"
0.077484,0.042954,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.032942,0.017183,15541,"/usr/include/features.h"
0.027085,0.001134,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.014422,0.013715,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.011491,0.002606,3669,"/usr/include/setjmp.h"
0.007070,0.007070,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.001365,0.000886,1286,"/usr/include/x86_64-linux-gnu/bits/setjmp.h"
0.000965,0.000965,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000875,0.000875,2363,"/usr/include/stdc-predef.h"
0.000529,0.000529,206,"/usr/include/x86_64-linux-gnu/bits/types/__sigset_t.h"
0.000462,0.000462,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000375,0.000375,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000221,0.000221,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
