"Total seconds","Self seconds","File size","File path"
0.079864,0.000980,1868,"/usr/include/c++/9/cstdarg"
0.075909,0.041397,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.027288,0.001133,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026155,0.010364,15541,"/usr/include/features.h"
0.014474,0.013808,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.006846,0.006846,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.002975,0.002975,4072,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdarg.h"
0.000861,0.000861,2363,"/usr/include/stdc-predef.h"
0.000475,0.000475,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000456,0.000456,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000378,0.000378,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000191,0.000191,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
